,root:BJN,root:TT
MTC5T1,0.59172237,0.4082776
MTC5T2,0.5911499,0.40885013
MTT5T4,0.59389895,0.40610108
MTT5T6,0.59115386,0.40884614
MTT5T7,0.028561108,0.9714389
MTT5T11,0.028561108,0.9714389
MTT5T12,0.028561108,0.9714389
MTT5T13,0.59158987,0.4084101
MTT5T14,0.591291,0.40870902
MTT5T15,0.028561108,0.9714389
MTT5T9,0.028562512,0.9714376
MTT5T17,0.028563423,0.97143656
MTT5T18,0.028566733,0.9714333
MTT5T19,0.02858259,0.9714174
MTB5T21,0.59134203,0.408658
MTB5T22,0.5910408,0.40895912
MTB5T23,0.5911427,0.4088573
MTB5T24,0.5911047,0.40889528
MTB5T25,0.59153557,0.40846443
