,root:D,root:W
SRR5761060,0.569455,0.43054503
SRR5761059,0.56931895,0.43068108
SRR5761119,0.5582615,0.44173846
SRR5761116,0.44099268,0.5590073
SRR5760866,0.54496735,0.45503268
SRR5760992,0.5512799,0.44872013
SRR5760991,0.55892074,0.4410792
SRR5761085,0.5668184,0.4331816
SRR5761189,0.02863334,0.9713667
SRR5761030,0.03470389,0.96529615
SRR5761033,0.5213151,0.47868496
SRR5761162,0.568436,0.43156394
SRR5761160,0.028605131,0.9713949
SRR5761161,0.03478097,0.9652191
SRR5760894,0.037339788,0.96266025
SRR5761050,0.0514604,0.94853956
SRR5760857,0.56998855,0.43001145
SRR5761086,0.53918743,0.4608126
SRR5761091,0.53361434,0.46638566
SRR5760965,0.54608554,0.45391443
SRR5760969,0.55918574,0.4408143
SRR5760888,0.27668822,0.7233117
SRR5761167,0.031339113,0.9686609
SRR5761040,0.42558342,0.57441664
SRR5761139,0.44790122,0.55209875
SRR5761011,0.5559694,0.44403052
SRR5761016,0.5686727,0.43132734
SRR5761018,0.09619693,0.90380305
SRR5761020,0.56718266,0.43281737
SRR5761147,0.57304937,0.42695066
SRR5761151,0.087677725,0.9123223
SRR5761194,0.5625526,0.4374474
SRR5760930,0.5651973,0.43480277
SRR5760927,0.56518114,0.4348189
SRR5760978,0.57004356,0.42995647
SRR5760975,0.55403584,0.44596413
SRR5760973,0.5612803,0.43871975
SRR5760874,0.542076,0.457924
SRR5760896,0.54067636,0.45932364
SRR5761180,0.5422814,0.45771864
SRR5761174,0.5505062,0.44949377
SRR5761175,0.5471543,0.45284572
SRR5761113,0.55672646,0.4432735
SRR5760949,0.5573049,0.44269514
