,root:D,root:W
SRR5761068,0.20788117,0.79211885
SRR5761065,0.57100976,0.4289903
SRR5761122,0.5725197,0.42748034
SRR5761121,0.5661073,0.4338927
SRR5760994,0.5616004,0.43839967
SRR5761081,0.028908372,0.9710916
SRR5761188,0.15477414,0.8452259
SRR5761191,0.04962801,0.95037204
SRR5761032,0.34021947,0.6597805
SRR5761036,0.07150786,0.9284921
SRR5761053,0.48412925,0.5158708
SRR5761046,0.52960247,0.47039747
SRR5760855,0.55231243,0.44768757
SRR5761092,0.5641243,0.4358757
SRR5760966,0.5633302,0.4366698
SRR5760968,0.5529413,0.44705862
SRR5760891,0.028684659,0.9713154
SRR5760889,0.51097524,0.48902476
SRR5760887,0.39887527,0.60112476
SRR5761169,0.56370187,0.43629816
SRR5761138,0.5576167,0.4423833
SRR5761012,0.028684512,0.9713155
SRR5761017,0.5570785,0.4429215
SRR5761014,0.54003924,0.45996076
SRR5761022,0.5717415,0.42825842
SRR5761200,0.5673919,0.43260813
SRR5760934,0.5757816,0.42421842
SRR5760977,0.5658881,0.43411183
SRR5761104,0.57054317,0.4294568
SRR5761096,0.57506925,0.42493078
SRR5761132,0.56691366,0.43308628
SRR5761133,0.56702447,0.43297544
SRR5761127,0.5756726,0.42432734
SRR5761128,0.028685316,0.9713147
SRR5760882,0.5670157,0.43298435
SRR5760918,0.57551277,0.42448723
SRR5761002,0.5720353,0.42796466
SRR5761008,0.5646392,0.4353608
SRR5760901,0.5664061,0.43359387
SRR5761112,0.5748044,0.42519563
SRR5761107,0.57568157,0.42431846
SRR5760988,0.57108915,0.42891085
SRR5760950,0.5672158,0.43278423
