,root:China,root:Trinidad and Tobago,Unknown
MTC4T1,0.72622335,0.27377665,0.0
MTC4T2,0.7572267,0.21743229,0.025341034
MTT4T12a,0.25269672,0.74730325,0.0
MTT4T12b,0.2526785,0.74732155,0.0
MTT4T14,0.7525113,0.2474887,0.0
MTT4T9a,0.6784891,0.32151094,0.0
MTT4T9b,0.25249907,0.747501,0.0
MTT4T17,0.75258934,0.21481186,0.032598794
MTB4T21,0.75993675,0.2203111,0.019752145
MTB4T22,0.76491565,0.22755069,0.0075336695
MTB4T23,0.76413804,0.22526401,0.010597944
MTB4T24,0.7600291,0.22003937,0.019931555
MTB4T25,0.7645192,0.22648114,0.008999646
