#OTU ID	MTC5T1	MTC5T2	MTT5T4	MTT5T6	MTT5T7	MTT5T11	MTT5T12	MTT5T13	MTT5T14	MTT5T15	MTT5T9	MTT5T17	MTT5T18	MTT5T19	MTB5T21	MTB5T22	MTB5T23	MTB5T24	MTB5T25
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	3.54320943911e-05	0.0	0.0	0.0	0.0	3.33636386384e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.000489933858929	0.000324304290082	0.00356515225721	0.00467703645963	0.0014668473921699	0.179657995355	0.00370084957807	0.0109137542966	0.0244972516703	0.0372255974079	0.00130461892657	0.055950048238	0.0437337557625999	0.0154187915776	0.000631582083327	0.0003958858326159	0.000367816568323	0.0003724053065059	4.09920065587e-05
k__Bacteria;p__Bacteroidetes	0.576727141836	0.6482225036289999	0.497544006223	0.303008184814	0.204485953544	0.0010086556731	0.0039101521249	0.552771622494	0.51018008024	0.0306115836370999	0.0607990790924999	0.0906873760344	0.128113676462	0.173124007214	0.571778410022	0.571689595054	0.560754490211	0.613848080224	0.562143881943
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.000100832589093	9.92098642951e-05	3.71353770169e-05	0.000304942412798	9.5137521287e-06	1.74480484358e-05	0.0	2.02511138113e-05	9.59278622476e-06	0.000293622401592	0.000132799605395	1.19432932437e-05	2.38332861633e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.305238792763	0.1711013991409999	0.406715450434	0.429784218545	0.3253616057339999	0.814794398442	0.38806594933	0.167509989008	0.251061380754	0.595662211422	0.0778358674276999	0.818463455996	0.756663694485	0.357916611927	0.18383507366	0.259762011709	0.257746165124	0.221975151391	0.0431850789095999
k__Bacteria;p__Fusobacteria	0.00594919685842	0.0330172653427	0.00110195615223	0.00121886404705	0.0369868355088	0.0	0.000190275042574	0.00110795107567	0.00975886430174	9.7205346294e-05	0.0	0.000467398924982	0.000237142152492	0.00182135221966	0.0886479078842999	0.0363910438444	0.0326890499452999	0.0370624237649	0.124513219922
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.111214985977	0.147087438614	0.0906340929388	0.26070935053	0.4315966355349999	0.00414017968145	0.604056663908	0.2672081377699999	0.203910218448	0.336233292831	0.859974099477	0.033970314176	0.0709387034964	0.45159980413	0.154856776846	0.131472162374	0.148126466733	0.126477477575	0.269952859192
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	1.49979752733e-05	0.0	5.04162945464e-05	2.12592566347e-05	0.0	0.0	2.85412563861e-05	0.0	8.34090965961e-06	2.83515593358e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	0.0	2.12592566347e-05	9.28384425423e-06	1.17285543384e-05	9.5137521287e-06	0.0	0.0	4.05022276225e-06	0.0	0.0	0.0	1.79149398655e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.0	0.0	2.88093111694e-05	7.08641887822e-06	0.0	1.17285543384e-05	0.0	8.724024217889999e-06	9.17500062557e-05	0.0	5.75567173486e-05	0.0	2.37142152492e-05	5.97164662184e-06	0.0	7.61318908878e-06	0.0	5.39717835516e-06	1.02480016397e-05
