#OTU ID	MTC10T1	MTC10T2	MTT10T4	MTT10T5	MTT10T7	MTT10T11	MTT10T12	MTT10T13	MTT10T14	MTT10T15	MTT10T9	MTB10T16	MTB10T17	MTB10T18	MTB10T19	MTB10T20	MTB10T21	MTB10T23	MTB10T24	MTB10T25
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25651658768e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1.3494912417999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25027565877e-05	0.0	1.85130331754e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.000222666054897	7.63701278245e-05	0.00028640399329	0.0007198814312939	0.000634029255921	0.00200790362063	0.0004379678292719	0.000515658840111	0.000517563401517	0.000936562589075	0.00842343009479	1.48014386998e-05	7.87983255356e-05	0.000117707776862	0.000558530336697	1.02311210239e-05	0.000294859614062	4.12065271139e-05	4.30222252816e-05	4.60778531407e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	2.6989824836e-05	0.0009737191297619	0.0029254122171799	0.00148916649023	0.000256630889302	0.00295985792682	0.00153686892817	0.00189074908041	0.0009001102635069	0.00518955212401	0.0329439425355	0.000503248915795	0.000443240581138	0.0007967911049139	0.0018455785038699	0.000255778025598	0.000906420295078	0.0002987473215759	0.000154880011014	0.000211958124447
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.566536665677	0.612478878887	0.197915388077	0.2484790740349999	0.1733919055599999	0.400236788634	0.474988055423	0.397593592079	0.18174351358	0.263513421802	0.0018513033175399	0.65175175027	0.526057621276	0.447687947629	0.541130902512	0.604822950451	0.644432067621	0.466993571782	0.546210172175	0.646444632852
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.875451201489999e-06	0.0	1.80978278082e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	2.04574280921e-05	1.41153221822e-05	0.0	0.0	7.963051441310001e-06	0.0	0.0	0.0	0.000268438981043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25651658768e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	6.68238618464e-05	7.16009983225e-05	0.0	0.0	0.0	3.98152572066e-05	0.000130633572828	7.87596480569e-05	0.0001674049072259	9.25651658768e-06	7.40071934992e-05	0.000856931790199	0.0008873355486539	0.0002428392768249	0.000306933630718	0.00333082156625	0.00709782429537	0.000146275565957	0.0004147006782659
k__Bacteria;p__Cyanobacteria;c__Chloroplast	6.74745620901e-06	9.54626597806e-06	0.0	0.0	0.0	7.99961601843e-06	7.963051441310001e-06	0.0	0.0011026350728	9.04891390411e-06	7.40521327014e-05	1.48014386998e-05	0.0	0.0	4.85678553649e-05	0.0	0.0	0.0	8.60444505632e-06	0.0002303892657029
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	9.44643869261e-05	0.00230065010071	0.0001738881387829	0.000550497565107	0.000362302431955	0.0002239892485159	0.0004220417263899	0.00459280140259	0.00615450392673	0.00480497328308	0.0119316498815	0.000236823019197	0.0004333907904459	6.33811106181e-05	0.00150560351631	0.000112542331263	0.000862737389291	0.000175127740234	6.88355604505e-05	4.60778531407e-05
k__Bacteria;p__Firmicutes;c__Clostridia	0.3862311408599999	0.25952478688	0.7429319585940001	0.7025548733149999	0.332623824404	0.486928627426	0.445198279981	0.517659596411	0.447253538558	0.656037209134	0.7160656101899999	0.305723716345	0.411987195272	0.474570592976	0.341941985697	0.293776409081	0.276960543415	0.489162683369	0.421944776672	0.317356605721
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.00140347089147	0.00204290091931	0.00884783764985	0.0035288305455599	0.00291351539031	0.00461577844263	0.00276317885014	0.0063735432637799	0.00336416210986	0.0344582641468	0.1082642180089999	0.00198339278578	0.00373307067225	0.00263484331284	0.00495392124722	0.00460400446077	0.00898775786565	0.00304928300643	0.00213390237397	0.00352956355058
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0	0.0	0.0	7.0576610911100006e-06	0.0	0.0	0.0	6.875451201489999e-06	0.0	1.35733708562e-05	9.25651658768e-06	0.0	0.0	1.8108888748e-05	0.0	0.0	0.0	6.18097906708e-05	0.0	0.0
k__Bacteria;p__GN02;c__3BR-5F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	0.0	1.02287140461e-05	7.0576610911100006e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000108347697611	9.05444437402e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1;c__ABY1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.020694448193	2.86387979342e-05	2.04574280921e-05	0.0	0.0	0.0	0.0	0.0	0.000157519296114	1.35733708562e-05	0.0002962085308059	0.0	0.0	0.00928985992775	0.00191843028691	0.0352666741695	3.27621793402e-05	0.0	0.0	9.21557062813e-06
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0166729642925	0.0830620602751	0.0277095863507999	0.0249347166349	0.0032607218876	0.0287986176664	0.00375059722886	0.0112138609095999	0.0211863453273	0.0191022572516	0.000351747630332	0.0330220097393	0.040768283674	0.0519453473738	0.0037397248631	0.0395125893944	0.0370867870130999	0.0257746827097	0.0239461705917	0.0167170451194
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.00240884186662	0.0131833933157	0.00629065913833	0.00681064295293	0.0150204549915	0.000175991552405	0.000652970218188	0.000893808656193	0.00465807061365	0.00388650852181	8.33086492891e-05	0.0057577596542399	0.00579167692687	0.0061660766187099	0.0071880425940099	0.0101595031768	0.00962115999956	0.00185429372013	0.00322666689612	0.00376916838691
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	6.74745620901e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03016317785e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.00143046071631	0.0251066795222999	0.000153430710691	0.0008539769920249	0.00327581782226	0.0721405372542	0.0094680681637199	0.00451029598817	0.00414050721213	0.00742915831527	0.1029972600709999	0.0004144402835959	0.00848066978577	0.000380286663709	0.0250610133682999	0.0003171647517419	0.016501217661	0.00477995714521	0.00140252454418	0.00989752285462
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	4.72321934631e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7769549763e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	1.02287140461e-05	0.0	0.0	7.99961601843e-06	0.0	3.43772560074e-05	0.0	0.0	3.70260663507e-05	0.0	9.84979069195e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.00271922485223	0.0	0.00028640399329	0.00503211235796	0.0	1.59992320369e-05	0.000477783086479	0.00195950359242	0.00058507167128	0.0001493070794179	0.00245297689573	8.8808632199e-05	0.00040384141837	0.00224550220476	0.0067145060042	4.09244840957e-05	1.09207264467e-05	1.03016317785e-05	2.58133351689e-05	0.000138233559422
k__Bacteria;p__Tenericutes;c__RF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	1.3494912417999998e-05	7.63701278245e-05	0.0116505052985	0.00461571035359	0.4680796461509999	0.0016479208998	0.059906035993	0.0520677919488	0.3277976552129999	0.0039950954886599	0.0136533619667999	5.92057547994e-05	4.92489534597e-05	0.00154830998796	0.0623004164694	0.00998557411936	4.36829057869e-05	3.09048953354e-05	1.72088901126e-05	0.000285682689472
k__Bacteria;p__[Thermi];c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.25651658768e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	1.3494912417999998e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25027565877e-05	0.0	1.85130331754e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	6.74745620901e-06	7.63701278245e-05	0.000132973282599	8.46919330934e-05	3.01918693296e-05	3.19984640737e-05	0.0	0.000171886280037	0.0001125137829379	0.000312187529692	0.00214751184834	0.0	7.87983255356e-05	3.62177774961e-05	0.000522104445173	1.02311210239e-05	3.27621793402e-05	4.12065271139e-05	4.30222252816e-05	4.60778531407e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0.0002159185986879	0.0	0.000153430710691	0.0006351894982	0.000603837386592	0.00197590515655	0.0004379678292719	0.000343772560074	0.000405049618578	0.000624375059383	0.0062759182464499	1.48014386998e-05	0.0	8.14899993662e-05	3.64258915237e-05	0.0	0.000262097434721	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	2.6989824836e-05	0.0009737191297619	0.0029254122171799	0.00148916649023	0.000256630889302	0.00295985792682	0.00153686892817	0.00189074908041	0.0009001102635069	0.00518955212401	0.0329439425355	0.000503248915795	0.000443240581138	0.0007967911049139	0.0018455785038699	0.000255778025598	0.000906420295078	0.0002987473215759	0.000154880011014	0.000211958124447
k__Bacteria;p__Bacteroidetes;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.566536665677	0.612478878887	0.197915388077	0.2484790740349999	0.1733919055599999	0.400236788634	0.474988055423	0.397593592079	0.18174351358	0.263513421802	0.0018513033175399	0.65175175027	0.526057621276	0.447687947629	0.541130902512	0.604822950451	0.644432067621	0.466993571782	0.546210172175	0.646444632852
