#OTU ID	MTC3T1	MTC3T2	MTT3T4	MTT3T5a	MTT3T5b	MTT3T7	MTT3T11	MTT3T12	MTT3T13	MTT3T14	MTT3T15	MTT3T9	MTT3T17	MTT3T18	MTT3T19	MTB3T21	MTB3T22	MTB3T23	MTB3T24	MTB3T25
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	4.30947797857e-05	1.09776714163e-05	5.7219149342e-05	4.34128270433e-05	0.0	7.89430246661e-05	0.0	4.0401999899000005e-05	2.902353228e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	0.0001574870789009	0.000740109981935	0.00636679546062	0.0185516190333	0.00311018486112	0.0182081176463	0.0492214209785	0.0517267877138	0.0438171530294	0.0668123408196	0.00578181785711	0.0905404726533999	0.0287033697248	0.0056411292358999	0.0195676654632	0.0093586043572	0.00217055026937	0.0011224977654	0.00167916143696	0.00171637191219
k__Bacteria;p__Bacteroidetes	0.787800478188	0.653938897157	0.65874462346	0.687614066116	0.6971109484870001	0.165118630675	0.08579452409	0.20678639647	0.441471167906	0.141815235008	0.492811794015	0.225446925169	0.441493388064	0.520872683198	0.7092654724449999	0.559049062236	0.621823672538	0.658022740973	0.6336375046639999	0.652069603148
k__Bacteria;p__Cyanobacteria	7.158503586410001e-06	3.18326873951e-05	1.21503730165e-05	0.0	7.95443698495e-06	0.0	0.0	1.09776714163e-05	0.0	7.23547117388e-05	0.10854637509	0.000129179494908	0.192155089641	0.0218524316954	9.86800097519e-05	0.0	0.0	4.1573991311e-05	0.0	9.48271774691e-06
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.198197488797	0.3135917617	0.292568831863	0.253777117161	0.249284100671	0.5322208010499999	0.682908610337	0.676916152546	0.468631190794	0.642394072702	0.335104340605	0.5560890190250001	0.31932879837	0.431038836422	0.262088301195	0.283567996467	0.3636964183869999	0.322884403517	0.344753892602	0.308065051444
k__Bacteria;p__Fusobacteria	0.0	0.0	0.0	9.40751472276e-06	0.0	0.0	7.1824632976100005e-06	0.0	1.27153665204e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64124784073e-05	0.0	1.69612266359e-05	0.00148878668626
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	7.158503586410001e-06	0.0	0.0	0.0	0.0	1.33932457862e-05	0.0	0.0	6.35768326022e-06	0.0	0.0	0.0	0.0	2.02009999495e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.89418846955e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.00848998525348	0.0169190733505	0.0024908264683699	0.0372349432727	0.0429460052817	0.195641837821	0.1223173499579999	0.00714646409204	0.0297730307076	0.0919483676777	0.0432631776334999	0.00863349624303	0.00926128194837	0.0125599717186	0.0066289747727499	0.145534293307	0.00496067159862	0.00577878479223	0.00882831846399	0.0104120240861
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	7.87435394505e-05	0.000278536014707	3.64511190494e-05	1.88150294455e-05	3.18177479398e-05	9.37527205031e-05	0.000201108972333	0.000186620414078	3.17884163011e-05	0.00118661727252	0.000107153381136	0.000129179494908	4.06419394333e-05	0.0003484672491289	0.0	0.0	6.97530332312e-05	0.000322198432661	0.000305302079446	0.000208619790432
k__Bacteria;p__TM7	1.43170071728e-05	1.59163436975e-05	0.0	0.0	0.0	6.69662289308e-06	0.0	0.0	0.0	0.0	0.0	1.4353277212e-05	0.0	0.0	0.0	0.0	1.23093588055e-05	0.0	0.0	0.0
k__Bacteria;p__Tenericutes	0.00445974773433	0.013051401832	0.0374839007558	0.00226721104819	0.00661809157148	0.0826564163692	0.0572226850921	0.054449250225	0.0151567168924	0.012401597592	0.00850529962764	0.1167710867579999	0.0056543098236599	0.00493914448765	0.00177043546908	0.00216260670256	0.00665525999417	0.0105286132994999	0.00937107771634	0.0242567919966
k__Bacteria;p__Verrucomicrobia	0.0	3.18326873951e-05	0.00058321790479	8.46676325048e-05	7.15899328646e-05	0.0018348746726999	0.000186744045738	0.00105385645597	0.000254307330409	0.04277610558	0.00371465054604	0.0007033105833889	0.000756956121946	0.00126256249684	5.80470645599e-05	3.04592493318e-05	0.0001066811096479	0.000135115471761	0.000271379626175	4.74135887345e-05
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	4.30947797857e-05	1.09776714163e-05	5.7219149342e-05	4.34128270433e-05	0.0	7.89430246661e-05	0.0	4.0401999899000005e-05	2.902353228e-05	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	7.87435394505e-05	0.000246703327312	0.00555272046852	0.018222356018	0.00281587069267	0.00724574597031	0.0353449018876	0.0477309153182	0.0370398626739999	0.0640483908312	0.00381287447874	0.0755412979669	0.0259752795403	0.00489369223777	0.0182499970975999	0.00845244168957	0.0015222573722799	0.000717151350115	0.000686929678754	0.000900858185956
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	7.87435394505e-05	0.000493406654623	0.000814074992102	0.000329263015297	0.000294314168443	0.010962371676	0.013876519091	0.00399587239555	0.00677729035539	0.00276394998842	0.00196894337837	0.0149991746866	0.00272809018446	0.000747436998131	0.0013176683655099	0.000906162667621	0.00064829289709	0.000405346415283	0.000992231758201	0.0008155137262339
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.176638606010001e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.787800478188	0.653938897157	0.658696021968	0.6875858435719999	0.69710299405	0.165118630675	0.08579452409	0.20678639647	0.441464810223	0.141815235008	0.492811794015	0.225439748531	0.441493388064	0.520872683198	0.7092654724449999	0.559049062236	0.621823672538	0.658022740973	0.6336375046639999	0.652069603148
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.35768326022e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	4.86014920658e-05	9.40751472276e-06	7.95443698495e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	0.0	0.0	1.88150294455e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.34128270433e-05	0.108532980918	0.0	0.192134768671	0.0214282106964	9.86800097519e-05	0.0	0.0	0.0	0.0	9.48271774691e-06
k__Bacteria;p__Cyanobacteria;c__Chloroplast	7.158503586410001e-06	3.18326873951e-05	1.21503730165e-05	0.0	7.95443698495e-06	0.0	0.0	1.09776714163e-05	0.0	2.89418846955e-05	1.3394172642e-05	0.000129179494908	2.03209697167e-05	0.000424220998939	0.0	0.0	0.0	4.1573991311e-05	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.0002362306183519	0.000230786983614	0.00132439065879	0.00469434984666	0.00307836711318	0.0140763013212	0.0540264889246	0.00701473203504	0.0111005149722999	0.0237034035656	0.00602291296467	0.0059709633201999	0.0115778724961	0.00360587849099	0.0066405841856599	0.0052237612604	0.00159201040551	0.00119525225019	0.00180637063672	0.0023043004125
k__Bacteria;p__Firmicutes;c__Clostridia	0.197674918035	0.312445784954	0.289385434133	0.24855594649	0.244948932515	0.516302928433	0.6250107736949999	0.6657299053719999	0.455203763748	0.615029520722	0.32161194403	0.544182975578	0.306689155206	0.425958284935	0.250670443596	0.276113095193	0.360701141078	0.319932650134	0.341599104447	0.305182305249
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.0002863401434559	0.000915189762608	0.00185900707152	0.000526820824475	0.0012568010436199	0.0018415712956	0.00385698279082	0.00417151513821	0.00232691207324	0.00361773558694	0.0074694836099999	0.00593508012717	0.0010617706677	0.00147467299631	0.00477727341328	0.00223114001355	0.0014032669038299	0.00175650113289	0.00134841751755	0.000578445782561
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0	0.0	0.0	9.40751472276e-06	0.0	0.0	7.1824632976100005e-06	0.0	1.27153665204e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64124784073e-05	0.0	1.69612266359e-05	0.00148878668626
