,root:China,root:Trinidad and Tobago,Unknown
MTC3T1,0.7786354,0.17282844,0.04853618
MTC3T2,0.72913456,0.2708655,0.0
MTT3T4,0.2437589,0.75624114,0.0
MTT3T5a,0.24108845,0.75891155,0.0
MTT3T5b,0.77657294,0.18241087,0.04101622
MTT3T7,0.24047644,0.7595236,0.0
MTT3T11,0.24047594,0.759524,0.0
MTT3T12,0.24049246,0.75950754,0.0
MTT3T13,0.24115792,0.75884205,0.0
MTT3T14,0.30455086,0.6954492,0.0
MTT3T15,0.24047594,0.759524,0.0
MTT3T9,0.24047594,0.75952405,0.0
MTT3T17,0.24047594,0.759524,0.0
MTT3T18,0.24047594,0.759524,0.0
MTT3T19,0.6344376,0.36556235,0.0
MTB3T21,0.24073926,0.7592607,0.0
MTB3T22,0.25216234,0.7478377,0.0
MTB3T23,0.72747695,0.24847445,0.024048567
MTB3T24,0.65813565,0.30747363,0.034390688
MTB3T25,0.7119559,0.2880441,0.0
