taxonomy	SRR5761074	SRR5761072	SRR5761061	SRR5761056	SRR5761078	SRR5760958	SRR5760872	SRR5761156	SRR5761157	SRR5761163	SRR5761051	SRR5761052	SRR5760938	SRR5760937	SRR5760861	SRR5760858	SRR5760892	SRR5761164	SRR5761158	SRR5761045	SRR5760959	SRR5760957	SRR5761010	SRR5761015	SRR5761023	SRR5761026	SRR5761197	SRR5761199	SRR5760932	SRR5760974	SRR5761102	SRR5761101	SRR5761129	SRR5761135	SRR5760877	SRR5760876	SRR5760881	SRR5760916	SRR5761000	SRR5761179	SRR5761110	SRR5760989	SRR5760952	SRR5760948
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.1810316682990532	0.3099669148056245	0.1416536661466458	0.1762122276879831	0.0327237728585178	0.0677262483691139	0.0333847935160169	0.0062538445765839	0.3474708171206225	0.3148297130598015	0.07731196054254	0.088569056185995	0.0255895634721525	0.0	0.419727060912016	0.0767642884789059	0.2180685358255451	0.2281077770973668	0.1471354166666666	0.2561917176376215	0.0782508630609896	0.3820972813020159	0.3130240357741755	0.2222222222222222	0.125	0.265980265980266	0.297569153394803	0.2606635071090047	0.3123028391167192	0.2704773129051267	0.2043530834340991	0.0228873239436619	0.2912885662431942	0.0796052631578947	0.1335403726708074	0.4019539427773901	0.1109375	0.6498649864986499	0.1485411140583554	0.2379363449691992	0.1649300387019946	0.2101930036188178	0.0617338003502627	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0801501795625204	0.1199338296112489	0.1647425897035881	0.1719957835558679	0.0287536092396535	0.0378365555687344	0.2199922809725974	0.0	0.21284046692607	0.2515419683561276	0.0418002466091245	0.0570163299197342	0.0175614651279478	0.0354052622285007	0.0296238766226561	0.134563282157141	0.0784008307372793	0.2479077362727087	0.1940104166666666	0.0974631505063672	0.1512082853855005	0.1573885703717403	0.0558971492453884	0.0	0.0916666666666666	0.0	0.3118189438390611	0.2872037914691943	0.0763406940063091	0.1667648791985857	0.1221281741233373	0.0	0.3475499092558983	0.0697368421052631	0.4968944099378882	0.2142358688066992	0.265625	0.11003600360036	0.3124668435013262	0.0639117043121149	0.2551354569812444	0.3368516284680338	0.105954465849387	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0401157981803143	0.0	0.0518271257905832	0.0317613089509143	0.0042699561143399	0.0	0.0	0.0084046692607003	0.0117994100294985	0.006905055487053	0.0095488513700525	0.0	0.0208370121843545	0.0223011206035726	0.0	0.0076583592938733	0.0	0.0	0.0	0.0	0.0	0.0799329234209055	0.2705761316872428	0.0972222222222222	0.0	0.0	0.0426540284360189	0.0	0.0	0.0	0.0	0.0335753176043557	0.0164473684210526	0.0	0.0	0.0578125	0.0128262826282628	0.0	0.1175564681724846	0.0	0.0425211097708082	0.0398423817863397	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Sarcina; s__	0.0019588638589618	0.0367038875103391	0.010764430577223	0.0	0.0028873917228103	0.1469576562685328	0.0	0.1280500307566126	0.1212451361867704	0.1322964154822561	0.0	0.021311929144755	0.0	0.4073812466890341	0.0379451902807056	0.001548187330667	0.0	0.0	0.0	0.0025067682743407	0.0	0.0158128352136119	0.0134153158188932	0.0277777777777777	0.0722222222222222	0.0	0.0	0.0123222748815165	0.0037854889589905	0.0	0.0	0.0	0.0	0.0	0.0082815734989648	0.0	0.0	0.0	0.0	0.0	0.0	0.0165862484921592	0.0	0.0064991334488734
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__	0.1692784851452824	0.0023779983457402	0.0817472698907956	0.0096626844694307	0.0027670837343599	0.0	0.0040524893863373	0.0	0.0115175097276264	0.0029498525073746	0.001849568434032	0.0	0.0	0.0022073106127494	0.0	0.0215456070184492	0.0003894080996884	0.0	0.0	0.0	0.0	0.0099870538191233	0.0	0.1502057613168724	0.0152777777777777	0.0	0.0	0.0	0.1608832807570978	0.0129640542133176	0.022974607013301	0.0	0.0598911070780399	0.0	0.0046583850931677	0.0167480809490579	0.009375	0.1017101710171017	0.1161803713527851	0.1401437371663244	0.2214944924084549	0.1170084439083232	0.1230297723292469	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.0323212536728697	0.0	0.0053042121684867	0.0077301475755446	0.0411453320500481	0.0134029178033447	0.0530683133925125	0.0941152347754767	0.0	0.0	0.0519112207151664	0.058538610572931	0.0273958855995985	0.0083877803284478	0.0330633529346499	0.014062701586892	0.0282969885773624	0.0	0.0520833333333333	0.0	0.0686996547756041	0.0737932309968559	0.0	0.0	0.0652777777777777	0.0098670098670098	0.0	0.0436018957345971	0.0	0.0	0.0	0.0299295774647887	0.0	0.0197368421052631	0.0	0.0	0.0171875	0.0	0.0	0.0	0.0	0.0	0.0070052539404553	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0	0.0214019851116625	0.0090483619344773	0.0216092761770906	0.0311597690086621	0.0136401375874747	0.0729448089540718	0.0163010047160139	0.0088715953307393	0.0	0.0499383477188656	0.0286465541101577	0.0273958855995985	0.0044146212254988	0.0194163985354487	0.0256741065668945	0.0151869158878504	0.0088793631353337	0.0	0.0169457535345432	0.0168009205983889	0.0055483632328463	0.0	0.0	0.0	0.0175890175890175	0.0	0.0	0.028391167192429	0.0	0.0	0.0	0.0562613430127041	0.0	0.0196687370600414	0.0	0.0234375	0.0049504950495049	0.0	0.0587782340862423	0.0375111640369157	0.0	0.0	0.1096187175043327
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	0.0	0.0717535153019024	0.0	0.0426914968376669	0.0	0.062626023010319	0.0032805866460825	0.0036907935206069	0.0079377431906614	0.0103691785107714	0.0129469790382244	0.0	0.0048168590065228	0.0188062864206251	0.0074337068678575	0.0627015868920139	0.0	0.0	0.0	0.0	0.0082853855005753	0.0045311633068244	0.0	0.037037037037037	0.0388888888888888	0.0214500214500214	0.0	0.0360189573459715	0.0	0.0	0.0253929866989117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0129674306393244	0.0131348511383537	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.0048971596474045	0.0038254755996691	0.0054602184087363	0.005270555165144	0.1057507218479307	0.0270430553908195	0.0	0.1411728521632151	0.0033463035019455	0.0048270313757039	0.0226880394574599	0.0058123443122059	0.1483191169091821	0.0046794984990287	0.0165316764673249	0.0113533737582247	0.0072689511941848	0.0040824658093488	0.0416666666666666	0.0117316755239145	0.0429228998849252	0.0056408359533937	0.0	0.0	0.0	0.0188760188760188	0.0	0.0066350710900473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.0220372184133202	0.0025847808105872	0.0839313572542901	0.0066760365425158	0.0021655437921077	0.0	0.0	0.0	0.0	0.0	0.0	0.023110988098533	0.003411941796287	0.0012360939431396	0.0065461000776655	0.0113533737582247	0.0048026998961578	0.0	0.0	0.0117316755239145	0.0	0.0129461808766413	0.0	0.0	0.0166666666666666	0.0	0.0	0.0161137440758293	0.0	0.0	0.2176541717049576	0.0	0.0	0.0105263157894736	0.0	0.0	0.0848958333333333	0.0	0.0259946949602122	0.0	0.0	0.0036188178528347	0.0337127845884413	0.0
