,root:BJN,root:TT
MTC6T1,0.62285507,0.3771449
MTC6T2,0.6716927,0.32830727
MTT6T3,0.4863966,0.5136034
MTT6T4,0.6699611,0.330039
MTT6T5,0.34124526,0.65875477
MTT6T7,0.1218497,0.8781503
MTT6T11,0.10318242,0.89681756
MTT6T12,0.12318766,0.8768123
MTT6T13,0.15479644,0.8452035
MTT6T14,0.10471844,0.89528155
MTT6T15,0.5854376,0.41456243
MTT6T16,0.59564066,0.40435937
MTT6T8,0.10218841,0.89781153
MTT6T9,0.18623967,0.81376034
MTT6T17,0.19095437,0.8090456
MTT6T18,0.31228876,0.68771124
MTT6T19,0.16733417,0.83266586
MTT6T20,0.4964118,0.50358814
MTB6T21,0.10218841,0.89781153
MTB6T22,0.67139083,0.32860917
MTB6T23,0.66773075,0.33226925
MTB6T24,0.67165065,0.32834938
MTB6T25,0.4558752,0.54412484
MTB6T26,0.52570194,0.4742981
MTB6T27,0.09908092,0.9009191
MTB6T28,0.6274795,0.3725205
MTB6T29,0.6704872,0.32951275
