,root:D,root:W
SRR5761071,0.8480951,0.15190491
SRR5761069,0.89692473,0.10307524
SRR5761073,0.89972425,0.10027572
SRR5761117,0.9052393,0.09476071
SRR5760868,0.9039727,0.09602726
SRR5760867,0.8725767,0.12742323
SRR5760912,0.13937826,0.8606218
SRR5760914,0.90442646,0.09557349
SRR5760996,0.88756514,0.11243485
SRR5761077,0.029594064,0.97040594
SRR5761185,0.18766123,0.81233877
SRR5761186,0.7621589,0.23784111
SRR5761190,0.8480951,0.15190491
SRR5761037,0.18765758,0.81234235
SRR5760945,0.19252287,0.8074772
SRR5760860,0.8480951,0.15190491
SRR5760852,0.86885715,0.13114288
SRR5761089,0.77285576,0.22714423
SRR5760964,0.87616265,0.12383733
SRR5760961,0.8480951,0.15190491
SRR5760884,0.09532142,0.9046786
SRR5760956,0.13937826,0.8606218
SRR5761021,0.9036995,0.09630043
SRR5761029,0.8480951,0.15190491
SRR5761150,0.8022027,0.19779731
SRR5761153,0.45258728,0.5474127
SRR5760928,0.88188815,0.11811184
SRR5760926,0.8900122,0.10998784
SRR5760979,0.90412664,0.09587336
SRR5761105,0.9043148,0.09568517
SRR5761099,0.90036994,0.09963006
SRR5761098,0.73199207,0.2680079
SRR5761126,0.89883024,0.10116982
SRR5760879,0.86883646,0.13116355
SRR5760920,0.8072572,0.19274285
SRR5760921,0.905744,0.094255954
SRR5761181,0.9050967,0.09490338
SRR5761176,0.9056295,0.09437047
SRR5761177,0.8996096,0.10039038
SRR5761173,0.9029986,0.097001374
SRR5761108,0.8616868,0.13831322
SRR5760983,0.89990425,0.10009571
SRR5760955,0.8984767,0.101523265
