,root:D,root:W
SRR5761118,0.57221574,0.42778432
SRR5761123,0.5076493,0.49235067
SRR5760911,0.50688094,0.4931191
SRR5760906,0.5269361,0.47306392
SRR5760908,0.52575254,0.47424746
SRR5760995,0.52012384,0.47987616
SRR5760990,0.51406837,0.4859316
SRR5761084,0.45352775,0.54647225
SRR5761076,0.033751324,0.9662487
SRR5761035,0.037910268,0.9620898
SRR5761048,0.30916178,0.6908382
SRR5760939,0.040730003,0.95927
SRR5760944,0.033063613,0.96693635
SRR5760942,0.14799199,0.852008
SRR5760936,0.032438688,0.96756136
SRR5761090,0.5082095,0.49179047
SRR5761093,0.45032367,0.5496763
SRR5760967,0.5029461,0.49705392
SRR5760960,0.041895043,0.9581049
SRR5761171,0.5029461,0.49705392
SRR5761159,0.5059116,0.49408835
SRR5761042,0.50764763,0.4923523
SRR5761041,0.48077628,0.51922375
SRR5761136,0.30547422,0.6945258
SRR5761141,0.03236338,0.9676366
SRR5761142,0.0710518,0.9289482
SRR5761027,0.53849655,0.46150342
SRR5761146,0.5704581,0.42954186
SRR5761195,0.5139006,0.4860994
SRR5761201,0.5069621,0.49303788
SRR5761193,0.5082377,0.49176234
SRR5760929,0.5095994,0.49040067
SRR5761131,0.2817573,0.7182427
SRR5761134,0.50643253,0.4935675
SRR5760875,0.5098971,0.49010283
SRR5760880,0.5069548,0.49304527
SRR5760924,0.54747665,0.45252338
SRR5761007,0.5350867,0.46491325
SRR5761006,0.51935047,0.48064956
SRR5761001,0.5195464,0.4804537
SRR5760900,0.50666285,0.49333718
SRR5760897,0.5459468,0.45405325
SRR5761111,0.57347083,0.42652917
SRR5760951,0.5722678,0.42773226
