#OTU ID	MTC1T1	MTC1T2	MTT1T4	MTT1T5	MTT1T11	MTT1T12	MTT1T13	MTT1T15	MTT1T8	MTT1T9	MTT1T17
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	9.02023813429e-05	0.00127188537133	0.000180215603395	0.0011208135068199	0.000387600095663	0.00151849389581	0.00906877662812	0.0053605078761	0.000347472350523	0.00157254682695	0.000994267098221
k__Bacteria;p__Firmicutes;c__Clostridia	0.268368484928	0.281275462549	0.335340279826	0.850636316395	0.753774977527	0.700690499214	0.7908181897229999	0.424916299237	0.5590491122510001	0.486379997204	0.6860231431530001
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.000508413422114	0.00661777857271	0.00904354664307	0.0798019216857	0.128641997707	0.0441269793304	0.0543170159116999	0.0109222634882	0.0193652273401	0.160085266984	0.0584396352943999
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	8.20021648572e-06	0.0	1.63832366722e-05	1.01892136984e-05	0.0	7.55469599903e-06	3.4779584384000006e-05	0.0001097714923429	1.69498707572e-05	0.0	0.0191184870216
k__Bacteria;p__GN02;c__3BR-5F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	0.000139112462489	8.19161833612e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.11546191111e-05
k__Bacteria;p__OD1;c__ABY1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	6.56017318857e-05	0.000417337387468	0.000385006061798	6.11352821903e-05	8.24681054602e-06	6.79922639913e-05	3.4779584384000006e-05	0.0	2.54248061359e-05	0.0	1.05773095555e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0093892478761399	0.00799896659314	0.00603722271372	0.0003668116931419	6.59744843682e-05	9.82110479874e-05	0.000330406051648	0.0506046579703	0.0030509767363	8.73637126083e-06	0.000465401620444
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.00217305736871	0.00146068085614	0.0036043120678899	0.000662298890395	6.59744843682e-05	0.000219086183972	0.000269541778976	0.0713057319014	0.0055087079961	0.0	0.001189947325
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.00571555089054	0.00306047417476	0.00291621612766	0.00633769092039	0.00060201716986	0.00560558443128	0.00511259890444	0.00603743207889	0.00830543667105	0.0188268800671	0.00335300712911
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	0.0	0.0	0.0	2.03784273968e-05	0.0	7.55469599903e-06	0.0	5.48857461717e-05	0.000322047544387	0.0	3.17319286666e-05
k__Bacteria;p__TM7;c__TM7-3	0.0	0.0	0.0	2.03784273968e-05	6.59744843682e-05	2.26640879971e-05	0.0	2.74428730859e-05	0.0	4.36818563042e-05	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	0.0	9.93660446352e-06	0.0	4.07568547935e-05	5.77276738221e-05	2.26640879971e-05	0.0002956264672639	5.48857461717e-05	0.0	1.74727425217e-05	0.0
k__Bacteria;p__Tenericutes;c__RF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0	2.98098133906e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	5.74015154e-05	1.9873208927e-05	0.0048494380549799	0.00148762519996	0.0299606627137	0.0710292517829	0.00417355012608	0.0107941967470999	0.0113564134072999	0.000157254682695	0.000602906644666
k__Bacteria;p__[Thermi];c__Deinococci	0.0	9.93660446352e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	3.4779584384000006e-05	0.0	0.0	0.0	0.0
