,root:China,root:Trinidad and Tobago,Unknown
MTC5T1,0.7166011,0.28339887,0.0
MTC5T2,0.7044507,0.2955493,0.0
MTT5T4,0.35456926,0.6454307,0.0
MTT5T6,0.57312506,0.42687503,0.0
MTT5T7,0.7242887,0.27571127,0.0
MTT5T11,0.34331802,0.656682,0.0
MTT5T12,0.34331793,0.6566821,0.0
MTT5T13,0.6859283,0.31407174,0.0
MTT5T14,0.68035215,0.31964788,0.0
MTT5T15,0.3745473,0.6254527,0.0
MTT5T9,0.34331793,0.6566821,0.0
MTT5T17,0.34698978,0.65301025,0.0
MTT5T18,0.35279244,0.64720756,0.0
MTT5T19,0.34324005,0.65676004,0.0
MTB5T21,0.6936443,0.30635566,0.0
MTB5T22,0.6741347,0.32586536,0.0
MTB5T23,0.68558985,0.3144102,0.0
MTB5T24,0.68951225,0.3104877,0.0
MTB5T25,0.6732428,0.32675716,0.0
