,root:D,root:W,Unknown
SRR5760909,0.42017674,0.57964194,0.00018131733
SRR5760912,0.41727537,0.58057714,0.0021474957
SRR5761085,0.6402165,0.35978347,0.0
SRR5761123,0.64321613,0.35678387,0.0
SRR5761121,0.49236062,0.48663047,0.021008909
SRR5760864,0.49974275,0.50025725,0.0
SRR5761120,0.60184205,0.3840462,0.014111757
SRR5760907,0.63565445,0.3643455,0.0
SRR5760908,0.45444182,0.5455582,0.0
SRR5761026,0.41261235,0.5807104,0.00667727
SRR5761144,0.41261235,0.5807104,0.00667727
SRR5761143,0.41261235,0.5807104,0.00667727
SRR5761052,0.39439368,0.6056063,0.0
SRR5760958,0.42509347,0.57490647,0.0
SRR5760861,0.41261235,0.5807104,0.00667727
SRR5761191,0.39607468,0.6039253,0.0
SRR5761189,0.41261235,0.5807104,0.00667727
SRR5761185,0.61026967,0.3897303,0.0
SRR5761079,0.39487296,0.60512704,0.0
SRR5760938,0.41261235,0.5807104,0.00667727
SRR5760939,0.3946853,0.6053147,0.0
SRR5761160,0.41384166,0.5861584,0.0
SRR5761176,0.6111696,0.38883048,0.0
SRR5760877,0.64388925,0.35611075,0.0
SRR5760882,0.39564127,0.6043587,0.0
SRR5760901,0.61642087,0.37547898,0.008100152
SRR5761114,0.4995963,0.5004037,0.0
SRR5760954,0.70716393,0.2928361,0.0
SRR5761181,0.6514505,0.34854952,0.0
SRR5761000,0.7071568,0.29284322,0.0
SRR5761174,0.64988935,0.3501107,0.0
SRR5760895,0.6421605,0.35783952,0.0
SRR5760916,0.691068,0.30893195,0.0
SRR5761180,0.45686215,0.5431379,0.0
SRR5760924,0.6443393,0.35566074,0.0
SRR5761086,0.49455026,0.5054497,0.0
SRR5760853,0.41261235,0.5807104,0.00667727
