,root:D,root:W,Unknown
SRR5761123,0.58458465,0.41541535,0.0
SRR5760912,0.61109746,0.38890254,0.0
SRR5761120,0.4184348,0.5807711,0.0007941127
SRR5760991,0.3954052,0.6045948,0.0
SRR5760907,0.58359545,0.3857656,0.030638933
SRR5761074,0.6121384,0.38786158,0.0
SRR5760915,0.4184348,0.5807711,0.0007941127
SRR5760994,0.5916605,0.3801772,0.0281623
SRR5761085,0.58377457,0.41622546,0.0
SRR5761143,0.39540657,0.60459346,0.0
SRR5761141,0.623204,0.37679595,0.0
SRR5761026,0.4184348,0.5807711,0.0007941127
SRR5761055,0.4184348,0.5807711,0.0007941127
SRR5761182,0.48457032,0.5154297,0.0
SRR5761189,0.4184348,0.5807711,0.0007941127
SRR5761190,0.61133605,0.38866398,0.0
SRR5760938,0.39540657,0.60459346,0.0
SRR5760939,0.3956735,0.60432655,0.0
SRR5761052,0.39540657,0.60459346,0.0
SRR5761047,0.4184348,0.5807711,0.0007941127
SRR5760858,0.4184348,0.5807711,0.0007941127
SRR5760958,0.4309386,0.5690614,0.0
SRR5761109,0.39540657,0.60459346,0.0
SRR5761107,0.5576274,0.41186145,0.03051114
SRR5761181,0.66571546,0.33428454,0.0
SRR5760895,0.6575411,0.3424589,0.0
SRR5760902,0.7057383,0.2942617,0.0
SRR5761110,0.4184348,0.5807711,0.0007941127
SRR5760922,0.61133605,0.38866398,0.0
SRR5761180,0.61795706,0.38204294,0.0
SRR5761005,0.70578766,0.29421225,0.0
SRR5760948,0.5801669,0.41983312,0.0
SRR5761002,0.6717408,0.3282592,0.0
SRR5760898,0.6566159,0.34338406,0.0
SRR5761000,0.61000544,0.38999456,0.0
SRR5760855,0.63422394,0.3558574,0.00991869
SRR5760853,0.39540657,0.60459346,0.0
