#SampleID,Region
USygt39.M.418483,USA
USygt4.F.418451,USA
USygt50.F.418499,USA
TS129.418618,USA
USygt45.M.418662,USA
USygt47.F.418643,USA
USygt29.M.418603,USA
USygt37.F.418676,USA
USygt45.F.418753,USA
USygt14.F.418375,USA
USygt37.M.418793,USA
USygt18.M.418867,USA
USygt22.F.418477,USA
USygt22.M.418388,USA
USygt23.F.418490,USA
USygt26.M.418352,USA
USygt30.F.418729,USA
USygt46.M.418453,USA
USygt50.M.418681,USA
USygt14.M.418857,USA
USygt15.M.418634,USA
USygt20.F.418339,USA
USygt23.M.418612,USA
USygt40.F.418369,USA
USygt40.M.418504,USA
USygt54.M.418445,USA
USygt13.F.418411,USA
USygt15.F.418688,USA
USygt43.M.418520,USA
USygt47.M.418401,USA
USygt53.F.418830,USA
USygt13.M.418644,USA
USygt27.F.418639,USA
USygt28.M.418808,USA
USygt30.M.418398,USA
USygt33.M.418638,USA
USygt4.M.418367,USA
USygt52.F.418555,USA
USygt53.M.418452,USA
USygt7.M.418598,USA
USygt10.M.418687,USA
USygt11.M.418479,USA
USygt16.F.418383,USA
USygt27.M.418861,USA
USygt39.F.418756,USA
USygt42.F.418628,USA
USygt54.F.418487,USA
USygt9.F.418438,USA
USygt9.M.418560,USA
USchp33Mom.418698,USA
USygt12.F.418502,USA
USygt38.M.418740,USA
USygt42.M.418663,USA
USygt43.F.418760,USA
USygt5.F.418630,USA
USchp35Mom.418515,USA
USygt25.F.418747,USA
USygt25.M.418835,USA
USygt38.F.418465,USA
USygt41.F.418802,USA
USygt44.F.418709,USA
USygt49.F.418818,USA
USygt49.M.418347,USA
USygt6.M.418593,USA
USygt11.F.418661,USA
USygt12.M.418543,USA
USygt17.M.418444,USA
USygt19.M.418397,USA
USygt20.M.418572,USA
USygt24.M.418730,USA
USygt52.M.418736,USA
USygt16.M.418462,USA
USygt36.M.418734,USA
USygt41.M.418492,USA
USygt44.M.418360,USA
USygt21.F.418579,USA
USygt3.M.418496,USA
USygt31.M.418440,USA
USygt48.F.418551,USA
USygt48.M.418794,USA
USygt5.M.418357,USA
USchp18Mom.418783,USA
USygt34.F.418402,USA
USygt21.M.418797,USA
USygt35.M.418364,USA
USygt8.F.418739,USA
USchp36Mom.418718,USA
USygt34.M.418823,USA
USchp4Infant.418833,USA
USygt32.M.418562,USA
USygt8.M.418616,USA
USchp25Mom.418780,USA
USBldAdlt6.418795,USA
USchp4Mom.418666,USA
USygt2.M.418457,USA
USchp3Mom.418727,USA
USchp41Mom.418801,USA
USchp1Mom.418814,USA
USygt38.T1.418654,USA
USygt38.T2.418456,USA
USygt10.T1.418683,USA
USygt10.T2.418815,USA
USygt15.T1.418779,USA
USygt15.T2.418859,USA
USygt26.T1.418758,USA
USygt26.T2.418693,USA
USygt28.T1.418827,USA
USygt39.T2.418351,USA
USygt47.T1.418692,USA
USygt47.T2.418762,USA
USygt53.T1.418664,USA
USygt53.T2.418455,USA
USygt54.T1.418381,USA
USygt54.T2.418497,USA
USygt6.T2.418728,USA
USygt8.T1.418829,USA
USygt8.T2.418755,USA
USygt1.T1.418417,USA
USygt1.T2.418785,USA
USygt13.T1.418495,USA
USygt13.T2.418745,USA
USygt14.T1.418853,USA
USygt14.T2.418813,USA
USygt17.T1.418600,USA
USygt17.T2.418720,USA
USygt19.T1.418385,USA
USygt19.T2.418432,USA
USygt20.T1.418564,USA
USygt20.T2.418500,USA
USygt23.T1.418854,USA
USygt23.T2.418458,USA
USygt24.T1.418841,USA
USygt24.T2.418363,USA
USygt25.T1.418406,USA
USygt25.T2.418341,USA
USygt29.T1.418673,USA
USygt29.T2.418768,USA
USygt3.T1.418429,USA
USygt3.T2.418807,USA
USygt30.T1.418821,USA
USygt30.T2.418609,USA
USygt31.T1.418408,USA
USygt31.T2.418361,USA
USygt33.T1.418574,USA
USygt33.T2.418787,USA
USygt42.T1.418811,USA
USygt42.T2.418716,USA
USygt43.T1.418816,USA
USygt43.T2.418799,USA
USygt49.T1.418399,USA
USygt49.T2.418670,USA
USygt11.T1.418632,USA
USygt11.T2.418503,USA
USygt12.T1.418615,USA
USygt12.T2.418790,USA
USygt16.T1.418527,USA
USygt16.T2.418435,USA
USygt27.T1.418441,USA
USygt27.T2.418523,USA
USygt36.T1.418651,USA
USygt36.T2.418655,USA
USygt7.T1.418622,USA
USygt7.T2.418392,USA
USygt16.B1.418368,USA
USygt25.B1.418792,USA
USygt37.B1.418521,USA
USygt41.B1.418570,USA
USygt6.AS.418353,USA
USygt9.B1.418824,USA
USchp35Child.418784,USA
USygt19.B1.418817,USA
USygt25.B2.418685,USA
USygt49.B1.418842,USA
USygt32.S1.418608,USA
USchp33ChildB.418578,USA
USygt25.S1.418338,USA
USygt44.B1.418371,USA
USBldChld4.418528,USA
USchp11Child.418850,USA
USchp25Child.418345,USA
USchp3Child.418614,USA
USchp1Child.418697,USA
USchp33ChildA.418742,USA
USBldChld2.418414,USA
USBldChld5.418733,USA
USBldChld7.418488,USA
USchp18Child.418782,USA
USygt21.B1.418713,USA
USygt54.AS.418858,USA
USBldChld8.418589,USA
USBldChld10.418660,USA
USBld1.418516,USA
USchp36Infant.418576,USA
USchp41Infant.418542,USA
USinfTw18.1.418513,USA
USinfTw18.2.418796,USA
USBldInf3.418459,USA
USinfTw10.2.418840,USA
USinfTw17.1.418390,USA
USinfTw10.1.418518,USA
USinfTw1.2.418491,USA
USchp60Mom.418566,USA
USinfTw1.1.418752,USA
USchp60Child.418703,USA
USinfTw19.1.418798,USA
USinfTw19.2.418595,USA
USinfTw9.1.418845,USA
USinfTw9.2.418769,USA
USinfTw7.1.418386,USA
USinfTw7.2.418463,USA
USinfTw8.1.418366,USA
USinfTw8.2.418804,USA
USinfTw21.1.418467,USA
USinfTw21.2.418540,USA
USinfTw5.1.418422,USA
USinfTw5.2.418695,USA
USinfTw6.1.418613,USA
USinfTw6.2.418594,USA
USinfTw3.1.418387,USA
USinfTw3.2.418812,USA
USinfTw4.1.418637,USA
USinfTw4.2.418348,USA
USchp50Infant.418380,USA
USinfTw2.1.418478,USA
USinfTw2.2.418678,USA
USinfTw20.1.418640,USA
USinfTw20.2.418696,USA
