#SampleID,Region
SRR5602323,Jiangsu
SRR5602183,Jiangsu
SRR5602293,Jiangsu
SRR5602140,Jiangsu
SRR5601941,Jiangsu
SRR5602197,Jiangsu
SRR5602265,Jiangsu
SRR5602223,Jiangsu
SRR5602312,Jiangsu
SRR5602285,Jiangsu
SRR5602320,Jiangsu
SRR5602093,Jiangsu
SRR5601993,Jiangsu
SRR5602157,Jiangsu
SRR5602148,Jiangsu
SRR5601995,Jiangsu
SRR5602080,Jiangsu
SRR5602233,Jiangsu
SRR5602232,Jiangsu
SRR5602181,Jiangsu
SRR5601932,Jiangsu
SRR5602100,Jiangsu
SRR5602101,Jiangsu
SRR5602207,Jiangsu
SRR5602124,Jiangsu
SRR5601990,Jiangsu
SRR5602245,Jiangsu
SRR5602246,Jiangsu
SRR5602247,Jiangsu
SRR5602329,Jiangsu
SRR5602328,Jiangsu
SRR5610012,Jiangsu
SRR5601966,Jiangsu
SRR5609969,Jiangsu
SRR5602264,Jiangsu
SRR5602025,Jiangsu
SRR5601981,Jiangsu
SRR5601961,Jiangsu
SRR5602059,Jiangsu
SRR5602273,Jiangsu
SRR5610011,Jiangsu
SRR5601991,Jiangsu
SRR5602261,Jiangsu
SRR5602230,Jiangsu
SRR5602306,Jiangsu
SRR5602309,Jiangsu
SRR5602034,Jiangsu
SRR5602226,Jiangsu
SRR5602037,Jiangsu
SRR5601982,Jiangsu
SRR5602300,Jiangsu
SRR5610015,Jiangsu
SRR5602061,Jiangsu
SRR5601986,Jiangsu
SRR5602303,Jiangsu
SRR5602029,Jiangsu
SRR5802183,Jiangsu
SRR5601985,Jiangsu
SRR5602062,Jiangsu
SRR5601983,Jiangsu
SRR5602271,Jiangsu
SRR5602060,Jiangsu
SRR5602027,Jiangsu
SRR5602021,Jiangsu
SRR5601984,Jiangsu
SRR5609970,Jiangsu
SRR5602225,Jiangsu
SRR5602036,Jiangsu
SRR5602031,Jiangsu
SRR5602038,Jiangsu
SRR5602032,Jiangsu
SRR5602270,Jiangsu
SRR5602054,Jiangsu
SRR5601965,Jiangsu
SRR5601967,Jiangsu
SRR5601959,Jiangsu
SRR5601924,Jiangsu
SRR5602058,Jiangsu
SRR5602272,Jiangsu
SRR5602307,Jiangsu
SRR5602024,Jiangsu
SRR5601988,Jiangsu
SRR5602302,Jiangsu
SRR5602066,Jiangsu
SRR5602275,Jiangsu
SRR5602057,Jiangsu
SRR5609972,Jiangsu
SRR5602030,Jiangsu
SRR5602022,Jiangsu
SRR5602023,Jiangsu
SRR5602018,Jiangsu
SRR5610010,Jiangsu
SRR5610008,Jiangsu
SRR5602304,Jiangsu
SRR5601968,Jiangsu
SRR5602257,Jiangsu
SRR5602274,Jiangsu
SRR5602035,Jiangsu
SRR5610085,Jiangsu
SRR5602063,Jiangsu
SRR5610014,Jiangsu
SRR5602267,Jiangsu
SRR5602266,Jiangsu
SRR5602026,Jiangsu
SRR5602020,Jiangsu
SRR5601992,Jiangsu
SRR5602305,Jiangsu
SRR5602262,Jiangsu
SRR5602204,Jiangsu
SRR5580413,Jiangsu
SRR5580649,Jiangsu
SRR5602227,Jiangsu
SRR5602277,Jiangsu
SRR5602308,Jiangsu
SRR5602019,Jiangsu
SRR5602200,Jiangsu
SRR5610170,Jiangsu
SRR5602103,Jiangsu
SRR5610172,Jiangsu
SRR5610061,Jiangsu
SRR5610060,Jiangsu
SRR5610164,Jiangsu
SRR5602045,Jiangsu
SRR5602000,Jiangsu
SRR5602048,Jiangsu
SRR5610027,Jiangsu
SRR5602067,Jiangsu
SRR5602046,Jiangsu
SRR5610057,Jiangsu
SRR5609980,Jiangsu
SRR5609978,Jiangsu
SRR5609961,Jiangsu
SRR5602033,Jiangsu
SRR5802314,Jiangsu
SRR5610020,Jiangsu
SRR5610025,Jiangsu
SRR5602050,Jiangsu
SRR5609960,Jiangsu
SRR5601955,Jiangsu
SRR5609946,Jiangsu
SRR5602040,Jiangsu
SRR5601997,Jiangsu
SRR5602006,Jiangsu
SRR5602091,Jiangsu
SRR5610161,Jiangsu
SRR5610160,Jiangsu
SRR5610154,Jiangsu
SRR5610153,Jiangsu
SRR5610144,Jiangsu
SRR5610171,Jiangsu
SRR5610099,Jiangsu
SRR5609983,Jiangsu
SRR5602051,Jiangsu
SRR5602028,Jiangsu
SRR5610173,Jiangsu
SRR5610023,Jiangsu
SRR5602004,Jiangsu
SRR5610155,Jiangsu
SRR5601958,Jiangsu
SRR5602043,Jiangsu
SRR5802307,Jiangsu
SRR5602042,Jiangsu
SRR5609981,Jiangsu
SRR5602007,Jiangsu
SRR5610109,Jiangsu
SRR5802313,Jiangsu
SRR5610018,Jiangsu
SRR5609959,Jiangsu
SRR5609964,Jiangsu
SRR5609965,Jiangsu
SRR5609952,Jiangsu
SRR5602052,Jiangsu
SRR5610152,Jiangsu
SRR5609949,Jiangsu
SRR5610019,Jiangsu
SRR5609986,Jiangsu
SRR5610167,Jiangsu
SRR5602044,Jiangsu
SRR5610055,Jiangsu
SRR5610056,Jiangsu
SRR5610022,Jiangsu
SRR5602049,Jiangsu
SRR5609979,Jiangsu
SRR5609962,Jiangsu
SRR5609963,Jiangsu
SRR5609966,Jiangsu
SRR5602053,Jiangsu
SRR5610021,Jiangsu
SRR5609977,Jiangsu
SRR5602047,Jiangsu
SRR5601998,Jiangsu
SRR5609945,Jiangsu
SRR5602002,Jiangsu
SRR5610166,Jiangsu
SRR5601957,Jiangsu
SRR5610100,Jiangsu
SRR5609948,Jiangsu
SRR5610052,Jiangsu
SRR5609951,Jiangsu
SRR5610169,Jiangsu
SRR5601954,Jiangsu
SRR5580651,Jiangsu
SRR5601963,Jiangsu
SRR5601948,Jiangsu
SRR5580432,Jiangsu
SRR5602236,Jiangsu
SRR5601943,Jiangsu
SRR5580430,Jiangsu
SRR5602239,Jiangsu
SRR5602243,Jiangsu
SRR5602268,Jiangsu
SRR5602269,Jiangsu
SRR5602238,Jiangsu
SRR5602240,Jiangsu
SRR5601915,Jiangsu
SRR5580427,Jiangsu
SRR5580471,Jiangsu
SRR5602084,Jiangsu
SRR5602089,Jiangsu
SRR5602090,Jiangsu
SRR5602073,Jiangsu
SRR5580543,Jiangsu
SRR5580650,Jiangsu
SRR5601962,Jiangsu
SRR5601969,Jiangsu
SRR5601944,Jiangsu
SRR5802193,Jiangsu
SRR5802404,Jiangsu
SRR5580652,Jiangsu
SRR5601945,Jiangsu
SRR5580646,Jiangsu
SRR5601947,Jiangsu
SRR5601950,Jiangsu
SRR5580616,Jiangsu
SRR5802216,Jiangsu
SRR5580619,Jiangsu
SRR5580431,Jiangsu
SRR5580429,Jiangsu
SRR5580436,Jiangsu
SRR5601949,Jiangsu
SRR5580435,Jiangsu
SRR5601952,Jiangsu
SRR5802217,Jiangsu
SRR5602237,Jiangsu
SRR5802214,Jiangsu
SRR5602242,Jiangsu
SRR5602206,Jiangsu
SRR5802215,Jiangsu
SRR5610163,Jiangsu
SRR5610162,Jiangsu
SRR5802220,Jiangsu
SRR5802221,Jiangsu
SRR5802218,Jiangsu
SRR5601909,Jiangsu
SRR5601910,Jiangsu
SRR5580433,Jiangsu
SRR5580428,Jiangsu
SRR5601916,Jiangsu
SRR5601913,Jiangsu
SRR5580468,Jiangsu
SRR5802219,Jiangsu
SRR5580465,Jiangsu
SRR5580462,Jiangsu
SRR5602109,Jiangsu
SRR5580470,Jiangsu
SRR5602108,Jiangsu
SRR5602106,Jiangsu
SRR5602105,Jiangsu
SRR5602112,Jiangsu
SRR5602086,Jiangsu
SRR5602087,Jiangsu
SRR5580502,Jiangsu
SRR5602088,Jiangsu
SRR5580440,Jiangsu
SRR5602081,Jiangsu
SRR5602082,Jiangsu
SRR5580438,Jiangsu
SRR5580501,Jiangsu
SRR5602072,Jiangsu
SRR5602074,Jiangsu
SRR5802397,Jiangsu
SRR5602068,Jiangsu
SRR5580500,Jiangsu
SRR5602070,Jiangsu
SRR5580525,Jiangsu
SRR5580536,Jiangsu
SRR5802396,Jiangsu
SRR5580538,Jiangsu
SRR5580540,Jiangsu
SRR5580541,Jiangsu
SRR5580542,Jiangsu
SRR5602078,Jiangsu
SRR5580544,Jiangsu
SRR5601964,Jiangsu
SRR5601970,Jiangsu
SRR5601946,Jiangsu
SRR5580645,Jiangsu
SRR5580647,Jiangsu
SRR5580648,Jiangsu
SRR5602235,Jiangsu
SRR5602241,Jiangsu
SRR5602244,Jiangsu
SRR5602344,Jiangsu
SRR5610009,Jiangsu
SRR5580434,Jiangsu
SRR5580467,Jiangsu
SRR5580466,Jiangsu
SRR5580463,Jiangsu
SRR5580464,Jiangsu
SRR5601917,Jiangsu
SRR5601918,Jiangsu
SRR5602111,Jiangsu
SRR5802223,Jiangsu
SRR5580461,Jiangsu
SRR5802224,Jiangsu
SRR5580503,Jiangsu
SRR5602104,Jiangsu
SRR5602113,Jiangsu
SRR5602083,Jiangsu
SRR5602085,Jiangsu
