#SampleID,Treatment,People,Group,Phase,Timepoint,Description
BJN1T1,BJN,BJN1,BJN,BJN,1,BJN1
BJN1T2,BJN,BJN1,BJN,BJN,2,BJN1
BJN1T3,BJN,BJN1,BJN,BJN,3,BJN1
BJN1T4,BJN,BJN1,BJN,BJN,4,BJN1
BJN1T5,BJN,BJN1,BJN,BJN,5,BJN1
BJN1T6,BJN,BJN1,BJN,BJN,6,BJN1
BJN10T1,BJN,BJN10,BJN,BJN,1,BJN10
BJN10T2,BJN,BJN10,BJN,BJN,2,BJN10
BJN10T3,BJN,BJN10,BJN,BJN,3,BJN10
BJN10T4,BJN,BJN10,BJN,BJN,4,BJN10
BJN10T5,BJN,BJN10,BJN,BJN,5,BJN10
BJN10T6,BJN,BJN10,BJN,BJN,6,BJN10
BJN2T1,BJN,BJN2,BJN,BJN,1,BJN2
BJN2T2,BJN,BJN2,BJN,BJN,2,BJN2
BJN2T3,BJN,BJN2,BJN,BJN,3,BJN2
BJN2T4,BJN,BJN2,BJN,BJN,4,BJN2
BJN2T5,BJN,BJN2,BJN,BJN,5,BJN2
BJN2T6,BJN,BJN2,BJN,BJN,6,BJN2
BJN3T1,BJN,BJN3,BJN,BJN,1,BJN3
BJN3T2,BJN,BJN3,BJN,BJN,2,BJN3
BJN3T3,BJN,BJN3,BJN,BJN,3,BJN3
BJN3T4,BJN,BJN3,BJN,BJN,4,BJN3
BJN3T5,BJN,BJN3,BJN,BJN,5,BJN3
BJN3T6,BJN,BJN3,BJN,BJN,6,BJN3
BJN4T1,BJN,BJN4,BJN,BJN,1,BJN4
BJN4T2,BJN,BJN4,BJN,BJN,2,BJN4
BJN4T3,BJN,BJN4,BJN,BJN,3,BJN4
BJN4T4,BJN,BJN4,BJN,BJN,4,BJN4
BJN4T5,BJN,BJN4,BJN,BJN,5,BJN4
BJN4T6,BJN,BJN4,BJN,BJN,6,BJN4
BJN5T1,BJN,BJN5,BJN,BJN,1,BJN5
BJN5T2,BJN,BJN5,BJN,BJN,2,BJN5
BJN5T3,BJN,BJN5,BJN,BJN,3,BJN5
BJN5T4,BJN,BJN5,BJN,BJN,4,BJN5
BJN5T5,BJN,BJN5,BJN,BJN,5,BJN5
BJN5T6,BJN,BJN5,BJN,BJN,6,BJN5
BJN6T2,BJN,BJN6,BJN,BJN,2,BJN6
BJN6T3,BJN,BJN6,BJN,BJN,3,BJN6
BJN6T4,BJN,BJN6,BJN,BJN,4,BJN6
BJN6T5,BJN,BJN6,BJN,BJN,5,BJN6
BJN6T6,BJN,BJN6,BJN,BJN,6,BJN6
BJN7T1,BJN,BJN7,BJN,BJN,1,BJN7
BJN7T2,BJN,BJN7,BJN,BJN,2,BJN7
BJN7T3,BJN,BJN7,BJN,BJN,3,BJN7
BJN7T4,BJN,BJN7,BJN,BJN,4,BJN7
BJN8T1,BJN,BJN8,BJN,BJN,1,BJN8
BJN8T2,BJN,BJN8,BJN,BJN,2,BJN8
BJN8T3,BJN,BJN8,BJN,BJN,3,BJN8
BJN8T4,BJN,BJN8,BJN,BJN,4,BJN8
BJN8T5,BJN,BJN8,BJN,BJN,5,BJN8
