,root:China,root:Trinidad and Tobago,Unknown
MTC10T1,0.79475486,0.14829132,0.056953788
MTC10T2,0.7932222,0.19326922,0.013508558
MTT10T4,0.20652182,0.7934782,0.0
MTT10T5,0.20595421,0.7940458,0.0
MTT10T7,0.20583996,0.79415995,0.0
MTT10T11,0.7732626,0.15817565,0.06856173
MTT10T12,0.32906097,0.670939,0.0
MTT10T13,0.37698022,0.6230198,0.0
MTT10T14,0.20587555,0.79412454,0.0
MTT10T15,0.20606935,0.79393065,0.0
MTT10T9,0.20583996,0.79415995,0.0
MTB10T16,0.78284633,0.1040245,0.11312914
MTB10T17,0.78497624,0.11198619,0.103037596
MTB10T18,0.78368926,0.10636258,0.10994816
MTB10T19,0.38790005,0.61209995,0.0
MTB10T20,0.78165066,0.10150096,0.11684835
MTB10T21,0.78433675,0.10873121,0.106932044
MTB10T23,0.783345,0.12203783,0.09461719
MTB10T24,0.7841995,0.1080288,0.107771754
MTB10T25,0.7837678,0.106392324,0.10983986
