,root:China,root:Trinidad and Tobago,Unknown
MTC7T1,0.77049315,0.16933063,0.060176253
MTC7T2,0.76933086,0.17235929,0.058309853
MTT7T3,0.43412414,0.5658759,0.0
MTT7T4,0.25440407,0.7339039,0.011692047
MTT7T5,0.24940217,0.736012,0.014585853
MTT7T7,0.2525769,0.73615456,0.011268556
MTT7T10,0.2484251,0.7363559,0.015218973
MTT7T12,0.24896973,0.73616976,0.014860511
MTT7T13,0.7823503,0.1791918,0.03845787
MTT7T14,0.24886388,0.7362787,0.014857411
MTT7T8,0.24851388,0.73634577,0.015140355
MTT7T9,0.2484192,0.73636436,0.01521647
MTT7T17,0.24869645,0.7368808,0.014422774
MTT7T18,0.24864393,0.7362834,0.015072644
MTT7T19,0.27587026,0.7221213,0.002008438
MTB7T21,0.24842066,0.7363657,0.015213668
MTB7T22,0.7693229,0.21854392,0.012133241
MTB7T23,0.7729559,0.16926184,0.057782292
MTB7T24,0.24990234,0.7393295,0.010768175
