#OTU ID	MTC2T1	MTC2T2	MTT2T4	MTT2T5	MTT2T7	MTT2T12	MTT2T13	MTT2T14	MTT2T15	MTT2T9	MTT2T17	MTT2T18	MTT2T19	MTB2T21	MTB2T22	MTB2T23	MTB2T24	MTB2T25
k__Archaea;p__Euryarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.50021876914e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria	6.67129209585e-05	0.00016210497577	0.00134408602151	0.00551248151302	0.0222159777925	0.0150278758416	0.0124832691415	0.0234218496331	0.00326135097773	0.0293766154359	0.0113171275147	0.0018144249352399	0.00406285549986	0.00184814415524	0.0017092926844799	0.00281328865169	0.000826119751446	0.00074894653674
k__Bacteria;p__Bacteroidetes	0.841957090249	0.770425226947	0.6918586789550001	0.427069421414	0.271113268278	0.232748808766	0.125069427372	0.127790067313	0.666899300756	0.137174249372	0.20648662969	0.3955857559929999	0.083294788294	0.430938446532	0.680974551948	0.493139161254	0.501059588377	0.627921714511
k__Bacteria;p__Cyanobacteria	0.0	0.0	0.0	0.0	8.51513138848e-06	0.0	0.0	0.0	0.0008186930437929	6.48490406974e-05	0.000438148094056	0.0	3.75032815371e-05	7.70060064685e-05	3.18897888896e-05	2.75812612911e-05	0.0	0.0
k__Bacteria;p__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes	0.128609169024	0.206837417241	0.14955453149	0.411284901179	0.500570513803	0.695352740321	0.591065949175	0.6753030979119999	0.229146814479	0.44384536283	0.7800190883120001	0.601947037296	0.9118422862	0.489463011448	0.301479686204	0.467323100685	0.450549549226	0.274567092441
k__Bacteria;p__Fusobacteria	0.000773869883119	0.000520442290629	7.68049155146e-06	8.963384574019999e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.79299370629e-06	0.0	0.0	5.13373376457e-05	6.37795777792e-06	0.0	0.0	0.0
k__Bacteria;p__GN02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae	2.66851683834e-05	2.55955224899e-05	0.0	0.0	8.51513138848e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria	0.0272455569194999	0.0208347553068	0.156735791091	0.155093443284	0.196197142322	0.0484403032583	0.265344587397	0.0312259681569	0.0004361889167749	0.386064867569	0.0014061496972	0.000113080307578	0.000575050316903	0.0740156065506	0.0144333184514	0.0301738998524	0.0436765920764	0.0959721490651
k__Bacteria;p__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes	0.0	0.0	2.30414746544e-05	0.0	1.7030262776999997e-05	1.9291239848e-05	9.10522913309e-06	2.84821843937e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7	0.0	0.0	0.0	2.6890153722e-05	8.51513138848e-06	3.8582479696e-05	2.73156873993e-05	0.0	2.01317961589e-05	9.26414867106e-06	4.07579622377e-05	0.0	0.0	0.0	0.0	0.0	8.97956251571e-06	0.0
k__Bacteria;p__Tenericutes	0.0	8.53184082998e-06	6.14439324117e-05	4.48169228701e-05	0.00523680580391	5.7873719544e-05	1.82104582662e-05	0.00130068642064	1.34211974392e-05	0.0003798300955129	0.0	0.0	1.25010938457e-05	0.000577545048514	3.82677466675e-05	0.000482672072594	4.48978125786e-05	0.0
k__Bacteria;p__Verrucomicrobia	5.33703367668e-05	0.000426592041499	9.21658986175e-05	0.000430242459553	0.0039935966212	0.00814090321585	0.0056543472916499	0.140379192815	0.0986256693821999	0.00279777289866	0.0	0.0	0.0	0.00231018019406	0.000663307608904	0.00551625225822	0.0030530512553399	0.0
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.75032815371e-05	1.28343344114e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.50021876914e-05	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	1.33425841917e-05	2.55955224899e-05	0.00106758832565	0.00487608120826	0.0215858580698	0.00742712734147	0.00560882114598	0.0140512109675	0.000449610114214	0.0170738260008	0.00115480893007	0.000169620461368	0.00273773955221	0.0002695210226399	0.000216850564449	0.000206859459683	8.08160626414e-05	0.0001728338161709
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	5.33703367668e-05	0.00013650945328	0.0002764976958529	0.000636400304755	0.000630119722747	0.0076007485001099	0.00687444799548	0.00937063866551	0.00281174086352	0.0123027894351999	0.0101623185846	0.00164480447387	0.00132511594765	0.0015786231326	0.00149244212003	0.00260642919201	0.0007453036888039	0.000576112720569
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.841957090249	0.770425226947	0.6918433179719999	0.427051494644	0.271113268278	0.232729517526	0.125042111685	0.127790067313	0.666879168959	0.137174249372	0.2064764402	0.3955857559929999	0.0832822872001	0.430938446532	0.680974551948	0.493139161254	0.501059588377	0.627921714511
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	9.10522913309e-06	0.0	2.01317961589e-05	0.0	1.01894905594e-05	0.0	1.25010938457e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	7.68049155146e-06	1.7926769147999998e-05	0.0	1.9291239848e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	0.0	7.68049155146e-06	0.0	0.0	0.0	1.82104582662e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28343344114e-05	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	0.0	0.0	0.0	0.0	8.51513138848e-06	0.0	0.0	0.0	0.0008186930437929	6.48490406974e-05	0.000438148094056	0.0	3.75032815371e-05	6.41716720571e-05	3.18897888896e-05	2.75812612911e-05	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
