,root:BJN,root:TT
MTC2T1,0.5974045,0.40259552
MTC2T2,0.5997643,0.40023568
MTT2T4,0.5796705,0.42032954
MTT2T5,0.5628901,0.43710992
MTT2T7,0.5446264,0.45537356
MTT2T12,0.21222948,0.78777057
MTT2T13,0.26792175,0.73207825
MTT2T14,0.09657216,0.9034278
MTT2T15,0.1373765,0.8626235
MTT2T9,0.19062874,0.8093713
MTT2T17,0.103981465,0.89601856
MTT2T18,0.1038166,0.8961834
MTT2T19,0.09586759,0.90413237
MTB2T21,0.5703155,0.42968458
MTB2T22,0.42979142,0.57020855
MTB2T23,0.5206906,0.47930938
MTB2T24,0.5681138,0.43188623
MTB2T25,0.5505636,0.44943646
