,root:BJN,root:TT
MTC9T1,0.57882905,0.42117092
MTC9T2,0.5912454,0.4087546
MTT9T4,0.028550591,0.9714494
MTT9T6,0.031186901,0.9688131
MTT9T11,0.028429922,0.9715701
MTT9T12,0.028429922,0.9715701
MTT9T13,0.028430391,0.97156966
MTT9T14,0.033796072,0.966204
MTT9T15,0.11763511,0.8823649
MTT9T9,0.058158156,0.9418419
MTT9T17,0.1537672,0.84623283
MTT9T18,0.028970256,0.9710298
MTB9T21,0.029136544,0.97086346
MTB9T22,0.02843029,0.9715697
MTB9T23,0.10010633,0.89989364
MTB9T24,0.57796264,0.42203736
MTB9T25,0.57956135,0.42043865
MTT9T26,0.539134,0.46086603
MTB9T27,0.58711135,0.4128887
