,root:BJN,root:TT
MTC3T1,0.563589,0.43641105
MTC3T2,0.5865155,0.41348448
MTT3T4,0.58781564,0.41218436
MTT3T5a,0.57022387,0.42977613
MTT3T5b,0.5885061,0.41149387
MTT3T7,0.5854132,0.41458675
MTT3T11,0.10909558,0.8909044
MTT3T12,0.29265684,0.70734316
MTT3T13,0.48760325,0.51239675
MTT3T14,0.09717495,0.90282506
MTT3T15,0.591277,0.40872294
MTT3T9,0.5544542,0.44554585
MTT3T17,0.591277,0.40872294
MTT3T18,0.59127617,0.4087238
MTT3T19,0.4868264,0.5131736
MTB3T21,0.594509,0.40549102
MTB3T22,0.58488864,0.41511136
MTB3T23,0.58118147,0.4188185
MTB3T24,0.5649872,0.43501282
MTB3T25,0.5910539,0.40894616
