,root:D,root:W
SRR5761070,0.57450455,0.4254954
SRR5761067,0.5764752,0.42352474
SRR5761062,0.57538885,0.4246112
SRR5761063,0.57460624,0.42539376
SRR5760862,0.56756157,0.4324384
SRR5760863,0.5731193,0.42688075
SRR5760910,0.5730712,0.42692882
SRR5760913,0.57295007,0.4270499
SRR5760997,0.5437606,0.45623934
SRR5761083,0.57345784,0.42654216
SRR5761184,0.029547822,0.9704522
SRR5761182,0.04136662,0.9586334
SRR5761039,0.033765182,0.9662348
SRR5760943,0.5719729,0.42802706
SRR5760859,0.028772125,0.9712279
SRR5761087,0.5752047,0.4247953
SRR5761094,0.031393636,0.9686064
SRR5760963,0.5747547,0.42524529
SRR5760962,0.5718774,0.42812258
SRR5760890,0.07049364,0.92950636
SRR5760886,0.5721583,0.42784175
SRR5761166,0.5746615,0.4253385
SRR5761170,0.03140368,0.96859634
SRR5761168,0.5438982,0.4561017
SRR5761043,0.56934345,0.43065652
SRR5761044,0.5671435,0.43285644
SRR5761144,0.53482014,0.46517992
SRR5761013,0.5750552,0.42494488
SRR5761019,0.039182585,0.96081746
SRR5761024,0.5755649,0.42443505
SRR5761149,0.03477454,0.9652254
SRR5761148,0.571192,0.428808
SRR5761152,0.5746807,0.42531937
SRR5761198,0.5745334,0.42546657
SRR5761192,0.5755579,0.42444205
SRR5760933,0.5735153,0.4264847
SRR5760976,0.57482684,0.42517322
SRR5761103,0.57101244,0.42898762
SRR5761100,0.5739215,0.42607853
SRR5761130,0.5755648,0.42443517
SRR5760919,0.5736812,0.4263188
SRR5761003,0.5723646,0.42763537
SRR5760895,0.5693702,0.43062982
SRR5760987,0.5764246,0.4235754
