,root:BJN,root:TT
MTC2T1,0.1538682,0.8461318
MTC2T2,0.12828723,0.8717128
MTT2T4,0.59300244,0.4069976
MTT2T5,0.5866596,0.41334036
MTT2T7,0.4450322,0.5549678
MTT2T12,0.028671984,0.97132796
MTT2T13,0.028461438,0.9715386
MTT2T14,0.028462255,0.97153777
MTT2T15,0.031937398,0.9680626
MTT2T9,0.028484706,0.9715153
MTT2T17,0.028567228,0.9714328
MTT2T18,0.029103022,0.97089696
MTT2T19,0.028461412,0.9715386
MTB2T21,0.5779756,0.42202443
MTB2T22,0.04165004,0.95835
MTB2T23,0.03704096,0.96295905
MTB2T24,0.14036606,0.8596339
MTB2T25,0.58948374,0.41051623
