#OTU ID	MTC4T1	MTC4T2	MTT4T12a	MTT4T12b	MTT4T14	MTT4T9a	MTT4T9b	MTT4T17	MTB4T21	MTB4T22	MTB4T23	MTB4T24	MTB4T25
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1;c__ABY1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	4.85894483154e-06	0.00502465882989	0.000327965891547	0.000671942660893	0.0005284560127549	0.000420229598171	8.63433587567e-05	1.62569024098e-05	0.00147493691753	0.00220775133748	0.00284174869848	0.000930252004223	0.0027865589509399
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.1132717219129999	0.0204364275098	0.00295169302393	0.00699318102633	0.0544399261953	0.00515099613516	0.0004748884731619	0.00225970943496	0.0201863915379	0.045684959694	0.0916861800076999	0.0186886582420999	0.0493384849549
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.00230799879498	0.0029050128361	8.79908489517e-05	0.000111990443482	0.00461279400964	0.000292887295695	1.43905597928e-05	0.0003576518530159	0.00725177317784	0.0061923551768399	0.00682019687635	0.00688804573913	0.00882800608828
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	4.85894483154e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.13669947939e-05	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0247903365304999	2.53344142683e-05	0.000111988353211	9.9547060873e-05	0.0016570230908399	0.011881036821	0.0021873650885	0.0016582040458	0.000491645639175	0.0011571328282	0.00319412553709	0.00402412383849	0.0030558482613299
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3	4.85894483154e-06	0.0	7.19925127787e-05	0.000161763973919	1.79137631442e-05	6.36711512381e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes	7.28841724731e-05	0.0	7.19925127787e-05	4.97735304365e-05	0.0	0.000515736325028	0.0	0.0	0.0	0.0	3.41009843817e-05	0.0	0.0
k__Bacteria;p__Tenericutes;c__RF3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Opitutae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.0	0.0	2.39975042596e-05	4.97735304365e-05	3.58275262884e-05	7.64053814857e-05	2.87811195856e-05	0.0	0.0	0.0	0.0	1.04522697104e-05	0.0
k__Bacteria;p__[Thermi];c__Deinococci	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	0.0	0.0	0.0	0.0	0.0	1.91013453714e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	5.34483931469e-05	8.44480475611e-06	0.000815915144825	0.000497735304365	0.0002149651577309	0.000114608072229	8.63433587567e-05	1.62569024098e-05	0.0	0.0	2.27339895878e-05	2.09045394207e-05	3.51246926589e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	1.45768344946e-05	0.0	0.00018398086599	0.00028619780001	9.85256972932e-05	0.0119510750873999	0.00377032666571	0.0052455605109	0.0	1.45246798518e-05	5.68349739696e-05	3.13568091311e-05	1.17082308863e-05
