,root:BJN,root:TT
MTC8T1,0.56808954,0.43191049
MTC8T2,0.5701993,0.42980066
MTT8T4,0.028268544,0.9717315
MTT8T6,0.5908838,0.40911624
MTT8T7,0.5611528,0.43884715
MTT8T11,0.028684597,0.9713154
MTT8T12,0.028334744,0.97166526
MTT8T13,0.5546801,0.4453199
MTT8T14,0.03414567,0.96585435
MTT8T15,0.54074335,0.45925665
MTT8T9,0.02826853,0.9717315
MTT8T17,0.6045405,0.39545947
MTB8T21,0.028271686,0.9717283
MTB8T22,0.02826853,0.9717315
MTB8T23,0.02826853,0.9717315
MTB8T24,0.5604801,0.43951994
MTB8T25,0.5491544,0.45084563
MTB8T26,0.030209891,0.9697901
MTB8T27,0.5617946,0.43820536
MTB8T28,0.028760366,0.97123957
MTB8T29,0.5682811,0.43171883
MTB8T30,0.5519317,0.44806835
