taxonomy	SRR5761068	SRR5761065	SRR5761122	SRR5761121	SRR5760994	SRR5761081	SRR5761188	SRR5761191	SRR5761032	SRR5761036	SRR5761053	SRR5761046	SRR5760855	SRR5761092	SRR5760966	SRR5760968	SRR5760891	SRR5760889	SRR5760887	SRR5761169	SRR5761138	SRR5761012	SRR5761017	SRR5761014	SRR5761022	SRR5761200	SRR5760934	SRR5760977	SRR5761104	SRR5761096	SRR5761132	SRR5761133	SRR5761127	SRR5761128	SRR5760882	SRR5760918	SRR5761002	SRR5761008	SRR5760901	SRR5761112	SRR5761107	SRR5760988	SRR5760950
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.003196164602477	0.2297941938121848	0.0746718312890036	0.2114641116153975	0.3015944815107995	0.0074641719745222	0.157885124646151	0.0361019636541041	0.2405770125639832	0.0174951116599773	0.3936392075078206	0.0919073764621628	0.2394453004622496	0.439486954615216	0.1140125045972784	0.3029393370856785	0.0776470588235294	0.0493827160493827	0.0338339660009902	0.225754775107825	0.2248120300751879	0.0092521202775636	0.3345379452762003	0.2598243180767453	0.1207023165765404	0.302649930264993	0.389739663093415	0.4307692307692308	0.4035714285714286	0.2651515151515151	0.1939393939393939	0.0662323561346362	0.225473321858864	0.4463696369636963	0.0738916256157635	0.1488712629652226	0.4943373125191307	0.3277005347593583	0.3052180128663331	0.1597859327217125	0.1659009698825931	0.2003188097768331	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0522011721412021	0.1054443727135786	0.1526306942343251	0.3052131629537487	0.0227906050955414	0.0447447721669253	0.048908403463837	0.0059329920893438	0.0250077184316146	0.0528675703858185	0.2036285509668178	0.0707241910631741	0.1394431045823284	0.1930856932695844	0.0656660412757973	0.1319031141868512	0.0491143317230273	0.0856576992903119	0.2208256315465188	0.193984962406015	0.0	0.109963861641714	0.0554785020804438	0.0281727752186394	0.0	0.1898928024502297	0.1311036789297658	0.2914285714285714	0.1145833333333333	0.5661616161616162	0.0	0.3115318416523235	0.2384488448844884	0.0	0.2422208663819402	0.1092745638200183	0.2622459893048128	0.106028115320467	0.2456676860346585	0.1393568147013782	0.3214665249734325	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0	0.0	0.0136157337367624	0.0173018206491009	0.0083598726114649	0.008948954433385	0.0924502988169289	0.0	0.0059689204486981	0.0	0.0778228694199092	0.0192604006163328	0.0213768910326682	0.0	0.0085053158223889	0.0225605536332179	0.2356414385399892	0.1485393629311767	0.11090573012939	0.1082706766917293	0.0	0.2978833247289623	0.270920018492834	0.0114827425061753	0.0	0.0	0.0	0.0321428571428571	0.0700757575757575	0.0373737373737373	0.0	0.0	0.0	0.0	0.0	0.0	0.0372192513368983	0.0	0.0	0.0	0.0499468650371944	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Sarcina; s__	0.0019976028765481	0.0283494616328199	0.0	0.0	0.0	0.0188097133757961	0.0380787142726691	0.0053665081107452	0.0050023266635644	0.0116291036328084	0.0	0.0009548818333731	0.0	0.0	0.0	0.0	0.0	0.0181159420289855	0.0110579303515431	0.0	0.0	0.0	0.0113577697470314	0.0420711974110032	0.0060751719073369	0.0139470013947001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021443888491779	0.0	0.0	0.0130180658873538	0.0222551928783382
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__	0.0039952057530962	0.0173095270546544	0.0426081342801807	0.0030257186081694	0.004862603188963	0.0	0.001187106200347	0.0010976948408342	0.0031409958120055	0.005557270762581	0.0	0.0	0.0798151001540832	0.0002192501644376	0.0	0.0811757348342714	0.0	0.0	0.0026406997854431	0.0	0.0	0.0	0.0	0.0032362459546925	0.0775085119166833	0.0	0.1408882082695252	0.0093645484949832	0.0171428571428571	0.0691287878787878	0.0	0.0	0.1256454388984509	0.0082508250825082	0.0	0.0878584502745576	0.0909090909090909	0.0	0.0426495115558732	0.2296126401630988	0.1225114854517611	0.0852816153028692	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.0459448661606072	0.0043614556358184	0.0266838820744566	0.0	0.0	0.0742436305732484	0.0388092411651903	0.0114648127820465	0.0060493252675663	0.0512503859215807	0.0307612095933263	0.017904034375746	0.0215716486902927	0.008112256084192	0.0528380532058354	0.0250156347717323	0.0	0.0	0.0894537052318864	0.0096118299445471	0.0	0.0	0.0629839958699019	0.0374479889042995	0.0136190666933707	0.0	0.0137825421133231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0	0.0057244105220117	0.0331396599956961	0.0307614725163893	0.0117607146895849	0.0319466560509554	0.029129759839284	0.0230515916575192	0.0139599813866914	0.0207883091489142	0.0462982273201251	0.0306755788971114	0.0149460708782742	0.0163341372506029	0.0310163050140983	0.008130081300813	0.0124567474048442	0.0	0.0112229740881333	0.0070240295748613	0.0	0.0	0.0	0.0	0.0	0.0	0.060490045941807	0.0	0.0	0.0	0.0	0.0	0.0	0.0156765676567656	0.0	0.0	0.0	0.0186096256684491	0.0	0.0346585117227319	0.0	0.0146121147715196	0.1442878338278931
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	0.0	0.0	0.0	0.0	0.0	0.0039808917197452	0.0492192493836179	0.0068301012318575	0.0	0.0761551919316661	0.0	0.0	0.0	0.002302126726595	0.0011033468186833	0.0	0.0	0.000805152979066	0.0	0.0	0.0	0.0192752505782575	0.0	0.1077207582061951	0.0036050470658922	0.0139470013947001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0122511485451761	0.0156748140276301	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.0105872952457051	0.0013629548861932	0.0150634818162255	0.0237014624306606	0.0	0.0071656050955414	0.0129668523422518	0.0558604707891206	0.019543973941368	0.036945559329011	0.0181438998957247	0.0	0.0	0.0088796316597237	0.0246414122839279	0.0	0.0455363321799308	0.027241009125067	0.0272322165373824	0.0	0.0052631578947368	0.0377794911333847	0.0	0.0	0.0018025235329461	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0045164718384697	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.0155813024370755	0.0303938939621098	0.0	0.057152462598756	0.0094990387877417	0.0037818471337579	0.0040178979088667	0.0	0.0	0.0290213028712565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040257648953301	0.0044561808879353	0.0	0.0	0.0	0.0	0.0	0.0203618399092062	0.0	0.0329249617151607	0.0	0.0157142857142857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0058157330884603	0.0	0.0	0.0	0.0	0.004250797024442	0.0
