,root:BJN,root:TT
MTC8T1,0.56168854,0.4383115
MTC8T2,0.47097594,0.529024
MTT8T4,0.57288176,0.42711824
MTT8T6,0.32061863,0.6793814
MTT8T7,0.57095325,0.42904672
MTT8T11,0.09147939,0.90852064
MTT8T12,0.5473648,0.45263523
MTT8T13,0.18988264,0.81011736
MTT8T14,0.56358874,0.43641123
MTT8T15,0.5614863,0.4385136
MTT8T9,0.029806143,0.9701938
MTT8T17,0.42633805,0.5736619
MTB8T21,0.09257758,0.90742236
MTB8T22,0.030092431,0.9699075
MTB8T23,0.034635067,0.96536493
MTB8T24,0.07236997,0.92763
MTB8T25,0.076381676,0.9236183
MTB8T26,0.558481,0.44151896
MTB8T27,0.40819848,0.5918015
MTB8T28,0.41875377,0.58124626
MTB8T29,0.5437634,0.4562366
MTB8T30,0.57287097,0.42712906
