SampleID,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
BJN1T1,BJN,BJN1,BJN,BJN,1,BJN1,root:China,False
BJN1T2,BJN,BJN1,BJN,BJN,2,BJN1,root:China,False
BJN1T3,BJN,BJN1,BJN,BJN,3,BJN1,root:China,False
BJN1T4,BJN,BJN1,BJN,BJN,4,BJN1,root:China,False
BJN1T5,BJN,BJN1,BJN,BJN,5,BJN1,root:China,False
BJN1T6,BJN,BJN1,BJN,BJN,6,BJN1,root:China,False
BJN10T1,BJN,BJN10,BJN,BJN,1,BJN10,root:China,False
BJN10T2,BJN,BJN10,BJN,BJN,2,BJN10,root:China,False
BJN10T3,BJN,BJN10,BJN,BJN,3,BJN10,root:China,False
BJN10T4,BJN,BJN10,BJN,BJN,4,BJN10,root:China,False
BJN10T5,BJN,BJN10,BJN,BJN,5,BJN10,root:China,False
BJN10T6,BJN,BJN10,BJN,BJN,6,BJN10,root:China,False
BJN2T1,BJN,BJN2,BJN,BJN,1,BJN2,root:China,False
BJN2T2,BJN,BJN2,BJN,BJN,2,BJN2,root:China,False
BJN2T3,BJN,BJN2,BJN,BJN,3,BJN2,root:China,False
BJN2T4,BJN,BJN2,BJN,BJN,4,BJN2,root:China,False
BJN2T5,BJN,BJN2,BJN,BJN,5,BJN2,root:China,False
BJN2T6,BJN,BJN2,BJN,BJN,6,BJN2,root:China,False
BJN3T1,BJN,BJN3,BJN,BJN,1,BJN3,root:China,False
BJN3T2,BJN,BJN3,BJN,BJN,2,BJN3,root:China,False
BJN3T3,BJN,BJN3,BJN,BJN,3,BJN3,root:China,False
BJN3T4,BJN,BJN3,BJN,BJN,4,BJN3,root:China,False
BJN3T5,BJN,BJN3,BJN,BJN,5,BJN3,root:China,False
BJN3T6,BJN,BJN3,BJN,BJN,6,BJN3,root:China,False
BJN4T1,BJN,BJN4,BJN,BJN,1,BJN4,root:China,False
BJN4T2,BJN,BJN4,BJN,BJN,2,BJN4,root:China,False
BJN4T3,BJN,BJN4,BJN,BJN,3,BJN4,root:China,False
BJN4T4,BJN,BJN4,BJN,BJN,4,BJN4,root:China,False
BJN4T5,BJN,BJN4,BJN,BJN,5,BJN4,root:China,False
BJN4T6,BJN,BJN4,BJN,BJN,6,BJN4,root:China,False
BJN5T1,BJN,BJN5,BJN,BJN,1,BJN5,root:China,False
BJN5T2,BJN,BJN5,BJN,BJN,2,BJN5,root:China,False
BJN5T3,BJN,BJN5,BJN,BJN,3,BJN5,root:China,False
BJN5T4,BJN,BJN5,BJN,BJN,4,BJN5,root:China,False
BJN5T5,BJN,BJN5,BJN,BJN,5,BJN5,root:China,False
BJN5T6,BJN,BJN5,BJN,BJN,6,BJN5,root:China,False
BJN6T2,BJN,BJN6,BJN,BJN,2,BJN6,root:China,False
BJN6T3,BJN,BJN6,BJN,BJN,3,BJN6,root:China,False
BJN6T4,BJN,BJN6,BJN,BJN,4,BJN6,root:China,False
BJN6T5,BJN,BJN6,BJN,BJN,5,BJN6,root:China,False
BJN6T6,BJN,BJN6,BJN,BJN,6,BJN6,root:China,False
BJN7T1,BJN,BJN7,BJN,BJN,1,BJN7,root:China,False
BJN7T2,BJN,BJN7,BJN,BJN,2,BJN7,root:China,False
BJN7T3,BJN,BJN7,BJN,BJN,3,BJN7,root:China,False
BJN7T4,BJN,BJN7,BJN,BJN,4,BJN7,root:China,False
BJN8T1,BJN,BJN8,BJN,BJN,1,BJN8,root:China,False
BJN8T2,BJN,BJN8,BJN,BJN,2,BJN8,root:China,False
BJN8T3,BJN,BJN8,BJN,BJN,3,BJN8,root:China,False
BJN8T4,BJN,BJN8,BJN,BJN,4,BJN8,root:China,False
BJN8T5,BJN,BJN8,BJN,BJN,5,BJN8,root:China,False
BJN8T6,BJN,BJN8,BJN,BJN,6,BJN8,root:China,False
BJN9T1,BJN,BJN9,BJN,BJN,1,BJN9,root:China,False
BJN9T2,BJN,BJN9,BJN,BJN,2,BJN9,root:China,False
BJN9T3,BJN,BJN9,BJN,BJN,3,BJN9,root:China,False
BJN9T4,BJN,BJN9,BJN,BJN,4,BJN9,root:China,False
BJN9T5,BJN,BJN9,BJN,BJN,5,BJN9,root:China,False
BJN9T6,BJN,BJN9,BJN,BJN,6,BJN9,root:China,False
MTC1T1,MTC,MT1,MTC,T1,1,MT1,root:China:T1,False
MTC1T2,MTC,MT1,MTC,T1,2,MT1,root:China:T1,False
MTT1T4,MTT,MT1,MTT,T2,4,MT1,root:Trinidad and Tobago:T2,False
MTT1T5,MTT,MT1,MTT,T2,5,MT1,root:Trinidad and Tobago:T2,False
MTT1T11,MTT,MT1,MTT,T3,11,MT1,root:Trinidad and Tobago:T3,False
MTT1T12,MTT,MT1,MTT,T3,12,MT1,root:Trinidad and Tobago:T3,False
MTT1T13,MTT,MT1,MTT,T3,13,MT1,root:Trinidad and Tobago:T3,False
MTT1T15,MTT,MT1,MTT,T3,15,MT1,root:Trinidad and Tobago:T3,False
MTT1T8,MTT,MT1,MTT,T3,8,MT1,root:Trinidad and Tobago:T3,False
MTT1T9,MTT,MT1,MTT,T3,9,MT1,root:Trinidad and Tobago:T3,False
MTT1T17,MTT,MT1,MTT,T4,17,MT1,root:Trinidad and Tobago:T4,False
MTC10T1,MTC,MT10,MTC,T1,1,MT10,root:China:T1,True
MTC10T2,MTC,MT10,MTC,T1,2,MT10,root:China:T1,True
MTT10T4,MTT,MT10,MTT,T2,4,MT10,root:Trinidad and Tobago:T2,True
MTT10T5,MTT,MT10,MTT,T2,5,MT10,root:Trinidad and Tobago:T2,True
MTT10T7,MTT,MT10,MTT,T2,7,MT10,root:Trinidad and Tobago:T2,True
MTT10T11,MTT,MT10,MTT,T3,11,MT10,root:Trinidad and Tobago:T3,True
MTT10T12,MTT,MT10,MTT,T3,12,MT10,root:Trinidad and Tobago:T3,True
MTT10T13,MTT,MT10,MTT,T3,13,MT10,root:Trinidad and Tobago:T3,True
MTT10T14,MTT,MT10,MTT,T3,14,MT10,root:Trinidad and Tobago:T3,True
MTT10T15,MTT,MT10,MTT,T3,15,MT10,root:Trinidad and Tobago:T3,True
MTT10T9,MTT,MT10,MTT,T3,9,MT10,root:Trinidad and Tobago:T3,True
MTB10T16,MTB,MT10,MTB,T4,16,MT10,root:China:T4,True
MTB10T17,MTB,MT10,MTB,T4,17,MT10,root:China:T4,True
MTB10T18,MTB,MT10,MTB,T4,18,MT10,root:China:T4,True
MTB10T19,MTB,MT10,MTB,T4,19,MT10,root:China:T4,True
MTB10T20,MTB,MT10,MTB,T5,20,MT10,root:China:T5,True
MTB10T21,MTB,MT10,MTB,T5,21,MT10,root:China:T5,True
MTB10T23,MTB,MT10,MTB,T5,23,MT10,root:China:T5,True
MTB10T24,MTB,MT10,MTB,T6,24,MT10,root:China:T6,True
MTB10T25,MTB,MT10,MTB,T6,25,MT10,root:China:T6,True
MTC2T1,MTC,MT2,MTC,T1,1,MT2,root:China:T1,False
MTC2T2,MTC,MT2,MTC,T1,2,MT2,root:China:T1,False
MTT2T4,MTT,MT2,MTT,T2,4,MT2,root:Trinidad and Tobago:T2,False
MTT2T5,MTT,MT2,MTT,T2,5,MT2,root:Trinidad and Tobago:T2,False
MTT2T7,MTT,MT2,MTT,T2,7,MT2,root:Trinidad and Tobago:T2,False
MTT2T12,MTT,MT2,MTT,T3,12,MT2,root:Trinidad and Tobago:T3,False
MTT2T13,MTT,MT2,MTT,T3,13,MT2,root:Trinidad and Tobago:T3,False
