,root:D,root:W,Unknown
SRR5760991,0.37355548,0.6264446,0.0
SRR5760997,0.6922619,0.30773813,0.0
SRR5760912,0.5475601,0.4524399,0.0
SRR5760915,0.38546154,0.58211136,0.032427073
SRR5761085,0.64363456,0.34042645,0.015938997
SRR5760996,0.37365207,0.62634796,0.0
SRR5761120,0.38546154,0.58211136,0.032427073
SRR5760863,0.50557613,0.49442393,0.0
SRR5761123,0.58875555,0.4112444,0.0
SRR5761148,0.48031592,0.519684,0.0
SRR5761026,0.37365338,0.6263466,0.0
SRR5761141,0.65941346,0.31112084,0.029465675
SRR5761079,0.37266344,0.6273365,0.0
SRR5760938,0.37365338,0.6263466,0.0
SRR5760939,0.37323427,0.6267658,0.0
SRR5761190,0.37365338,0.6263466,0.0
SRR5761053,0.3719997,0.6280003,0.0
SRR5761052,0.37364873,0.62635124,0.0
SRR5761081,0.6935272,0.30647278,0.0
SRR5760861,0.38546154,0.58211136,0.032427073
SRR5760958,0.39545786,0.60454214,0.0
SRR5760942,0.38561875,0.58208334,0.03229791
SRR5760923,0.71407175,0.2859282,0.0
SRR5761114,0.68503696,0.3149631,0.0
SRR5760898,0.70366466,0.29633537,0.0
SRR5760947,0.55738443,0.44261557,0.0
SRR5760900,0.62579596,0.32736644,0.04683757
SRR5761002,0.37365338,0.6263466,0.0
SRR5761110,0.7200076,0.2799924,0.0
SRR5761174,0.37365338,0.6263466,0.0
SRR5760902,0.72555006,0.27444994,0.0
SRR5760877,0.6428056,0.35719445,0.0
SRR5761109,0.37365338,0.6263466,0.0
SRR5760954,0.7255501,0.27444994,0.0
SRR5760922,0.5084896,0.4915104,0.0
SRR5760855,0.7029148,0.29708517,0.0
SRR5760853,0.37365338,0.6263466,0.0
