,root:China,root:Trinidad and Tobago,Unknown
MTC2T1,0.7594851,0.24051481,0.0
MTC2T2,0.7635237,0.23647636,0.0
MTT2T4,0.7265382,0.27346182,0.0
MTT2T5,0.7656532,0.23434682,0.0
MTT2T7,0.7208809,0.279119,0.0
MTT2T12,0.30870542,0.69129455,0.0
MTT2T13,0.60410327,0.39589673,0.0
MTT2T14,0.6490055,0.3509946,0.0
MTT2T15,0.5941648,0.4058352,0.0
MTT2T9,0.32287475,0.67712533,0.0
MTT2T17,0.2934891,0.70063925,0.0058716536
MTT2T18,0.30006766,0.6970779,0.0028544664
MTT2T19,0.28445894,0.7048856,0.010655463
MTB2T21,0.7549794,0.2272267,0.017793894
MTB2T22,0.7591226,0.23533055,0.0055468082
MTB2T23,0.7213629,0.25857228,0.02006483
MTB2T24,0.7442673,0.22510952,0.030623198
MTB2T25,0.766999,0.23300105,0.0
