,root:D,root:W
SRR5761060,0.9028883,0.09711172
SRR5761059,0.9098099,0.0901901
SRR5761119,0.8810917,0.11890825
SRR5761116,0.5124493,0.48755074
SRR5760866,0.90647435,0.093525656
SRR5760992,0.8375926,0.16240737
SRR5760991,0.80753684,0.19246316
SRR5761085,0.8882687,0.11173126
SRR5761189,0.20062956,0.79937047
SRR5761030,0.1995979,0.8004021
SRR5761033,0.854362,0.14563805
SRR5761162,0.54740053,0.45259944
SRR5761160,0.20067151,0.7993285
SRR5761161,0.7167412,0.28325877
SRR5760894,0.19698149,0.80301845
SRR5761050,0.1931346,0.80686533
SRR5760857,0.20067154,0.7993285
SRR5761086,0.8805451,0.11945487
SRR5761091,0.6126374,0.3873626
SRR5760965,0.90979725,0.09020274
SRR5760969,0.9087457,0.09125426
SRR5760888,0.26796615,0.7320338
SRR5761167,0.19979315,0.8002069
SRR5761040,0.21283378,0.7871662
SRR5761139,0.84015125,0.1598487
SRR5761011,0.9079441,0.092055894
SRR5761016,0.880768,0.11923199
SRR5761018,0.24221092,0.757789
SRR5761020,0.9096598,0.09034021
SRR5761147,0.9097431,0.09025695
SRR5761151,0.23892608,0.7610739
SRR5761194,0.8986798,0.10132019
SRR5760930,0.8200678,0.17993222
SRR5760927,0.8936663,0.10633369
SRR5760978,0.9071108,0.09288916
SRR5760975,0.9091583,0.09084175
SRR5760973,0.88963777,0.11036218
SRR5760874,0.8912872,0.10871283
SRR5760896,0.9096078,0.0903922
SRR5761180,0.89217436,0.10782567
SRR5761174,0.8847841,0.11521588
SRR5761175,0.8910214,0.10897867
SRR5761113,0.88916045,0.110839546
SRR5760949,0.90980977,0.090190284
