,root:China,root:Trinidad and Tobago,Unknown
MTC9T1,0.74974436,0.25025564,0.0
MTC9T2,0.75040334,0.2495966,0.0
MTT9T4,0.3039695,0.69603056,0.0
MTT9T6,0.3049256,0.6950745,0.0
MTT9T11,0.3431922,0.65680784,0.0
MTT9T12,0.3031559,0.6968441,0.0
MTT9T13,0.30315438,0.6968456,0.0
MTT9T14,0.30318305,0.696817,0.0
MTT9T15,0.67582786,0.3106553,0.013516843
MTT9T9,0.71784323,0.28215668,0.0
MTT9T17,0.7491814,0.25081864,0.0
MTT9T18,0.30451584,0.69548416,0.0
MTB9T21,0.30315432,0.69684577,0.0
MTB9T22,0.3031618,0.6968382,0.0
MTB9T23,0.30794325,0.6920567,0.0
MTB9T24,0.35393843,0.6460616,0.0
MTB9T25,0.74353105,0.24755326,0.008915663
MTT9T26,0.69845074,0.30154926,0.0
MTB9T27,0.7500923,0.2499077,0.0
