,PC1,PC2,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
MTB6T26,0.022677236540289403,-0.012094898095777672,MTB,MT6,MTB,T6,26.0,MT6,root:China:T6,False
MTB6T27,-0.10365598967337175,-0.03438960711017062,MTB,MT6,MTB,T6,27.0,MT6,root:China:T6,False
MTB6T28,-0.07096502407873184,0.005152406965366537,MTB,MT6,MTB,T6,28.0,MT6,root:China:T6,False
MTB6T29,-0.04138580332115309,0.004718802355817483,MTB,MT6,MTB,T6,29.0,MT6,root:China:T6,False
MTB7T21,0.06713959698687869,0.03848847491904776,MTB,MT7,MTB,T5,21.0,MT7,root:China:T5,False
MTB7T22,-0.035865573078718654,0.06189360609401811,MTB,MT7,MTB,T5,22.0,MT7,root:China:T5,False
MTB7T23,-0.13577991288041424,0.06416623587904317,MTB,MT7,MTB,T5,23.0,MT7,root:China:T5,False
MTB7T24,-0.029103523599561424,0.09061245366854191,MTB,MT7,MTB,T5,24.0,MT7,root:China:T5,False
MTB8T21,0.03384962971253343,0.007459399606303833,MTB,MT8,MTB,T5,21.0,MT8,root:China:T5,False
MTB8T22,0.13432838747453196,-0.0031024047952524095,MTB,MT8,MTB,T5,22.0,MT8,root:China:T5,False
MTB8T23,0.08338651858062178,-0.008011252249562438,MTB,MT8,MTB,T5,23.0,MT8,root:China:T5,False
MTB8T24,-0.13337728140118912,-0.06616440194923376,MTB,MT8,MTB,T5,24.0,MT8,root:China:T5,False
MTB8T25,-0.12826081649909565,-0.09896120392728791,MTB,MT8,MTB,T6,25.0,MT8,root:China:T6,False
MTB8T26,-0.01420037983261144,-0.03247449878978133,MTB,MT8,MTB,T6,26.0,MT8,root:China:T6,False
MTB8T27,-0.1036695004640696,-0.06856793927895843,MTB,MT8,MTB,T6,27.0,MT8,root:China:T6,False
MTB8T28,0.0229856641631921,0.045237984635444865,MTB,MT8,MTB,T6,28.0,MT8,root:China:T6,False
MTB8T29,-0.1773561224515666,-0.10485401497067984,MTB,MT8,MTB,T6,29.0,MT8,root:China:T6,False
MTB8T30,-0.2035971547546416,-0.1309563406822873,MTB,MT8,MTB,T6,30.0,MT8,root:China:T6,False
MTB9T21,0.006652860915570838,0.13313231699010866,MTB,MT9,MTB,T5,21.0,MT9,root:China:T5,False
MTB9T22,0.1114361316294758,0.12503081563938018,MTB,MT9,MTB,T5,22.0,MT9,root:China:T5,False
MTB9T23,0.06104986658823594,0.07187267016374482,MTB,MT9,MTB,T5,23.0,MT9,root:China:T5,False
MTB9T24,-0.07844168870600848,0.09577815712627556,MTB,MT9,MTB,T5,24.0,MT9,root:China:T5,False
MTB9T25,-0.04227099721137205,0.10455923697869814,MTB,MT9,MTB,T6,25.0,MT9,root:China:T6,False
MTB9T27,-0.12816836034881848,0.10716631605643245,MTB,MT9,MTC,T6,27.0,MT9,root:China:T6,False
MTC10T1,-0.09992825122396144,0.08093802991534278,MTC,MT10,MTC,T1,1.0,MT10,root:China:T1,True
MTC10T2,-0.13906248273150626,0.12407049033935151,MTC,MT10,MTC,T1,2.0,MT10,root:China:T1,True
MTC1T1,-0.17741355038660658,-0.10899324020028141,MTC,MT1,MTC,T1,1.0,MT1,root:China:T1,False
MTC1T2,-0.15633705327104885,-0.11892137407030764,MTC,MT1,MTC,T1,2.0,MT1,root:China:T1,False
MTC2T1,-0.23971333780334744,-0.1249495352484036,MTC,MT2,MTC,T1,1.0,MT2,root:China:T1,False
MTC2T2,-0.20607059906530478,-0.1085799604975429,MTC,MT2,MTC,T1,2.0,MT2,root:China:T1,False
MTC3T1,-0.2049117053744692,-0.13340846853244423,MTC,MT3,MTC,T1,1.0,MT3,root:China:T1,False
MTC3T2,-0.1540662739577666,-0.08236588904897603,MTC,MT3,MTC,T1,2.0,MT3,root:China:T1,False
MTC4T1,-0.05351676441045712,0.1295387250854968,MTC,MT4,MTC,T1,1.0,MT4,root:China:T1,False
MTC4T2,-0.12731714688611523,-0.06319375789433328,MTC,MT4,MTC,T1,2.0,MT4,root:China:T1,False
MTC5T1,-0.12862430246439926,0.1276629861569498,MTC,MT5,MTC,T1,1.0,MT5,root:China:T1,False
MTC5T2,-0.18085168534697596,0.1419785821335968,MTC,MT5,MTC,T1,2.0,MT5,root:China:T1,False
MTC6T1,-0.10596026054346824,-0.08364782724216299,MTC,MT6,MTC,T1,1.0,MT6,root:China:T1,False
MTC6T2,-0.22193696508365257,-0.16033444268833108,MTC,MT6,MTC,T1,2.0,MT6,root:China:T1,False
MTC7T1,-0.084219092662465,0.07437653255565047,MTC,MT7,MTC,T1,1.0,MT7,root:China:T1,False
MTC7T2,-0.09116988883546273,0.06895341935570765,MTC,MT7,MTC,T1,2.0,MT7,root:China:T1,False
MTC8T1,-0.17839333628248127,-0.13312660718169,MTC,MT8,MTC,T1,1.0,MT8,root:China:T1,False
MTC8T2,-0.19165638768155366,-0.12260909308422026,MTC,MT8,MTC,T1,2.0,MT8,root:China:T1,False
MTC9T1,-0.07455775560530566,0.09315692433349865,MTC,MT9,MTC,T1,1.0,MT9,root:China:T1,False
MTC9T2,-0.08328975590053113,0.10766055683637027,MTC,MT9,MTC,T1,2.0,MT9,root:China:T1,False
MTT10T11,-0.010324811863913829,0.11374860243096585,MTT,MT10,MTT,T3,11.0,MT10,root:Trinidad and Tobago:T3,True
MTT10T12,-0.04076432286521746,0.05976595574082317,MTT,MT10,MTT,T3,12.0,MT10,root:Trinidad and Tobago:T3,True
MTT10T13,-0.0047977206529466925,0.06384634485208929,MTT,MT10,MTT,T3,13.0,MT10,root:Trinidad and Tobago:T3,True
MTT10T14,0.08099363766258327,0.046696640663800866,MTT,MT10,MTT,T3,14.0,MT10,root:Trinidad and Tobago:T3,True
MTT10T15,0.0788125819538301,0.06938478595808532,MTT,MT10,MTT,T3,15.0,MT10,root:Trinidad and Tobago:T3,True
MTT10T4,0.10676777770671708,0.06282761743568763,MTT,MT10,MTT,T2,4.0,MT10,root:Trinidad and Tobago:T2,True
MTT10T5,0.07059045654463712,0.07001288411158278,MTT,MT10,MTT,T2,5.0,MT10,root:Trinidad and Tobago:T2,True
MTT10T7,0.06605789367816525,0.03138691144694587,MTT,MT10,MTT,T2,7.0,MT10,root:Trinidad and Tobago:T2,True
MTT10T9,0.3174166727582537,0.040763890160532244,MTT,MT10,MTT,T3,9.0,MT10,root:Trinidad and Tobago:T3,True
MTT1T11,0.22586747840496893,-0.0419085287294976,MTT,MT1,MTT,T3,11.0,MT1,root:Trinidad and Tobago:T3,False
MTT1T12,0.16137149318416294,-0.0293568678322362,MTT,MT1,MTT,T3,12.0,MT1,root:Trinidad and Tobago:T3,False
MTT1T13,0.27967868508962807,-0.024913862743841494,MTT,MT1,MTT,T3,13.0,MT1,root:Trinidad and Tobago:T3,False
MTT1T15,-0.04770132164062973,0.03915125082909619,MTT,MT1,MTT,T3,15.0,MT1,root:Trinidad and Tobago:T3,False
MTT1T17,0.12697360594552176,0.024272789687970812,MTT,MT1,MTT,T4,17.0,MT1,root:Trinidad and Tobago:T4,False
MTT1T4,-0.13253450879445025,-0.09868629255169327,MTT,MT1,MTT,T2,4.0,MT1,root:Trinidad and Tobago:T2,False
MTT1T5,0.2426354334283441,-0.011622366064274942,MTT,MT1,MTT,T2,5.0,MT1,root:Trinidad and Tobago:T2,False
MTT1T8,-0.0020092449786265434,-0.011204164819096205,MTT,MT1,MTT,T3,8.0,MT1,root:Trinidad and Tobago:T3,False
MTT1T9,0.29712027143130937,-0.08738430444533347,MTT,MT1,MTT,T3,9.0,MT1,root:Trinidad and Tobago:T3,False
MTT2T12,0.11683808749361807,-0.046860717169506905,MTT,MT2,MTT,T3,12.0,MT2,root:Trinidad and Tobago:T3,False
MTT2T13,0.16828633962095546,0.0871076431715888,MTT,MT2,MTT,T3,13.0,MT2,root:Trinidad and Tobago:T3,False
MTT2T14,0.17028160346978694,-0.026827181210960435,MTT,MT2,MTT,T3,14.0,MT2,root:Trinidad and Tobago:T3,False
MTT2T15,-0.15859750921312885,-0.08559515676416311,MTT,MT2,MTT,T3,15.0,MT2,root:Trinidad and Tobago:T3,False
MTT2T17,0.1256858979959028,-0.0695442222964646,MTT,MT2,MTT,T4,17.0,MT2,root:Trinidad and Tobago:T4,False
MTT2T18,0.0002684720362663888,-0.04036152065700534,MTT,MT2,MTT,T4,18.0,MT2,root:Trinidad and Tobago:T4,False
MTT2T19,0.21475229846085148,-0.03850293335901065,MTT,MT2,MTT,T4,19.0,MT2,root:Trinidad and Tobago:T4,False
MTT2T4,-0.1716868584208856,-0.061442678585727654,MTT,MT2,MTT,T2,4.0,MT2,root:Trinidad and Tobago:T2,False
MTT2T5,-0.029710270674269693,0.0007819789942227671,MTT,MT2,MTT,T2,5.0,MT2,root:Trinidad and Tobago:T2,False
MTT2T7,0.07012232518648565,0.019393540938388954,MTT,MT2,MTT,T2,7.0,MT2,root:Trinidad and Tobago:T2,False
