,PC1,PC2,Treatment,People,Group,Phase,Timepoint,Description,Env,is_MT10
MTT6T9,0.20309392853840438,-0.004442109658143834,MTT,MT6,MTT,T3,9.0,MT6,root:Trinidad and Tobago:T3,False
MTT7T10,0.2580661588448054,0.002558324926116461,MTT,MT7,MTT,T3,10.0,MT7,root:Trinidad and Tobago:T3,False
MTT7T12,0.15763960913818545,0.008174075527392619,MTT,MT7,MTT,T3,12.0,MT7,root:Trinidad and Tobago:T3,False
MTT7T13,-0.08622830804048377,0.0805601352348221,MTT,MT7,MTT,T3,13.0,MT7,root:Trinidad and Tobago:T3,False
MTT7T14,0.13399418305269503,0.05524320338957072,MTT,MT7,MTT,T3,14.0,MT7,root:Trinidad and Tobago:T3,False
MTT7T17,0.23577145577742104,0.06096982648337324,MTT,MT7,MTT,T4,17.0,MT7,root:Trinidad and Tobago:T4,False
MTT7T18,0.188185001919466,-0.0035591737671552184,MTT,MT7,MTT,T4,18.0,MT7,root:Trinidad and Tobago:T4,False
MTT7T19,-0.007494944195087987,0.05093928655037032,MTT,MT7,MTT,T4,19.0,MT7,root:Trinidad and Tobago:T4,False
MTT7T3,-0.01608053359674493,0.044648665079343335,MTT,MT7,MTT,T2,3.0,MT7,root:Trinidad and Tobago:T2,False
MTT7T4,0.05696039677591889,0.030695678863285548,MTT,MT7,MTT,T2,4.0,MT7,root:Trinidad and Tobago:T2,False
MTT7T5,0.09717990998801086,0.019268106880295368,MTT,MT7,MTT,T2,5.0,MT7,root:Trinidad and Tobago:T2,False
MTT7T7,-0.05966189188175483,0.06437720183793065,MTT,MT7,MTT,T2,7.0,MT7,root:Trinidad and Tobago:T2,False
MTT7T8,0.22735199958249597,-0.019896069564748674,MTT,MT7,MTT,T3,8.0,MT7,root:Trinidad and Tobago:T3,False
MTT7T9,0.31367178535810497,0.039461733925041785,MTT,MT7,MTT,T3,9.0,MT7,root:Trinidad and Tobago:T3,False
MTT8T11,-0.008942139590266596,-0.04645908238374431,MTT,MT8,MTT,T3,11.0,MT8,root:Trinidad and Tobago:T3,False
MTT8T12,0.021989813856690247,-0.06940966987802451,MTT,MT8,MTT,T3,12.0,MT8,root:Trinidad and Tobago:T3,False
MTT8T13,-0.08132820535566165,-0.11710828950914837,MTT,MT8,MTT,T3,13.0,MT8,root:Trinidad and Tobago:T3,False
MTT8T14,-0.03168652772694712,-0.05769206045998383,MTT,MT8,MTT,T3,14.0,MT8,root:Trinidad and Tobago:T3,False
MTT8T15,-0.1414519818435444,-0.09475506308959497,MTT,MT8,MTT,T3,15.0,MT8,root:Trinidad and Tobago:T3,False
MTT8T17,-0.10630212507785211,-0.06037383367579727,MTT,MT8,MTT,T4,17.0,MT8,root:Trinidad and Tobago:T4,False
MTT8T4,-0.00445368201003188,-0.05698839531671955,MTT,MT8,MTT,T2,4.0,MT8,root:Trinidad and Tobago:T2,False
MTT8T6,-0.017642888722566297,-0.05232880877505472,MTT,MT8,MTT,T2,6.0,MT8,root:Trinidad and Tobago:T2,False
MTT8T7,-0.12173437813456671,-0.10710953049925243,MTT,MT8,MTT,T2,7.0,MT8,root:Trinidad and Tobago:T2,False
MTT8T9,-0.038922464024131694,0.11696951265956504,MTT,MT8,MTT,T3,9.0,MT8,root:Trinidad and Tobago:T3,False
MTT9T11,0.3354955867631209,-0.04479546046869432,MTT,MT9,MTT,T3,11.0,MT9,root:Trinidad and Tobago:T3,False
MTT9T12,0.3304609542487402,-0.06062154836761176,MTT,MT9,MTT,T3,12.0,MT9,root:Trinidad and Tobago:T3,False
MTT9T13,0.2652717564171429,-0.05522917394532509,MTT,MT9,MTT,T3,13.0,MT9,root:Trinidad and Tobago:T3,False
MTT9T14,-0.029941624128194122,0.10866781399423903,MTT,MT9,MTT,T3,14.0,MT9,root:Trinidad and Tobago:T3,False
MTT9T15,0.01760172716348851,0.06247126973131851,MTT,MT9,MTT,T3,15.0,MT9,root:Trinidad and Tobago:T3,False
MTT9T17,-0.015776606034499985,0.10824274205284663,MTT,MT9,MTT,T4,17.0,MT9,root:Trinidad and Tobago:T4,False
MTT9T18,0.14929974259192413,0.04369266455756401,MTT,MT9,MTT,T4,18.0,MT9,root:Trinidad and Tobago:T4,False
MTT9T26,-0.0765961249876381,0.12362727012132181,MTT,MT9,MTB,T6,26.0,MT9,root:China:T6,False
MTT9T4,0.18360382199995026,0.04728217762190896,MTT,MT9,MTT,T2,4.0,MT9,root:Trinidad and Tobago:T2,False
MTT9T6,0.10204912427012348,0.03680048231250326,MTT,MT9,MTT,T2,6.0,MT9,root:Trinidad and Tobago:T2,False
MTT9T9,0.06972762806072726,0.06832113682052103,MTT,MT9,MTT,T3,9.0,MT9,root:Trinidad and Tobago:T3,False
TTC1T1,0.34776961249975297,-0.07850617892558387,TTC,TTC1,TTC,TTC,1.0,TTC1,root:Trinidad and Tobago,False
TTC1T2,-0.028997458393916264,0.05518452819611383,TTC,TTC1,TTC,TTC,2.0,TTC1,root:Trinidad and Tobago,False
TTC2T1,0.30067606167351235,0.000867249831999093,TTC,TTC2,TTC,TTC,1.0,TTC2,root:Trinidad and Tobago,False
TTC2T2,-0.05175647355118592,0.07076359923376496,TTC,TTC2,TTC,TTC,2.0,TTC2,root:Trinidad and Tobago,False
TTC3T1,0.3482762895448985,-0.05847700062481765,TTC,TTC3,TTC,TTC,1.0,TTC3,root:Trinidad and Tobago,False
