,root:BJN,root:TT
MTC9T1,0.5987657,0.40123433
MTC9T2,0.60399634,0.39600366
MTT9T4,0.1684466,0.83155346
MTT9T6,0.16035195,0.83964807
MTT9T11,0.09827312,0.90172684
MTT9T12,0.10137589,0.89862406
MTT9T13,0.09952753,0.90047246
MTT9T14,0.09932107,0.9006789
MTT9T15,0.20789103,0.79210895
MTT9T9,0.58675134,0.4132486
MTT9T17,0.6040701,0.3959299
MTT9T18,0.113419876,0.8865801
MTB9T21,0.099384114,0.9006159
MTB9T22,0.36384714,0.63615286
MTB9T23,0.57300794,0.4269921
MTB9T24,0.62051207,0.37948802
MTB9T25,0.62057346,0.3794265
MTT9T26,0.5947253,0.40527472
MTB9T27,0.5991746,0.40082538
