taxonomy	SRR5761070	SRR5761071	SRR5761068	SRR5761069	SRR5761074	SRR5761072	SRR5761073	SRR5761066	SRR5761067	SRR5761060	SRR5761061	SRR5761059	SRR5761065	SRR5761062	SRR5761063	SRR5761056	SRR5761057	SRR5761119	SRR5761118	SRR5761117	SRR5761116	SRR5761123	SRR5761122	SRR5761121	SRR5761125	SRR5760868	SRR5760869	SRR5760870	SRR5760871	SRR5760864	SRR5760865	SRR5760866	SRR5760867	SRR5760862	SRR5760863	SRR5760911	SRR5760910	SRR5760913	SRR5760912	SRR5760907	SRR5760906	SRR5760909	SRR5760908	SRR5760915	SRR5760914	SRR5760996	SRR5760997	SRR5760994	SRR5760995	SRR5760992	SRR5760993	SRR5760990	SRR5760991	SRR5761085	SRR5761084	SRR5761083	SRR5761082	SRR5761081	SRR5761079	SRR5761078	SRR5761077	SRR5761076	SRR5761184	SRR5761185	SRR5761186	SRR5761188	SRR5761189	SRR5761190	SRR5761191	SRR5761182	SRR5761183	SRR5761030	SRR5761033	SRR5761032	SRR5761035	SRR5761037	SRR5761036	SRR5761039	SRR5760958	SRR5760872	SRR5761156	SRR5761157	SRR5761162	SRR5761163	SRR5761160	SRR5761161	SRR5760894	SRR5760905	SRR5761049	SRR5761048	SRR5761051	SRR5761050	SRR5761053	SRR5761052	SRR5761047	SRR5761046	SRR5760940	SRR5760938	SRR5760939	SRR5760944	SRR5760945	SRR5760942	SRR5760943	SRR5760936	SRR5760937	SRR5760861	SRR5760860	SRR5760859	SRR5760858	SRR5760857	SRR5760855	SRR5760853	SRR5760852	SRR5761086	SRR5761087	SRR5761089	SRR5761090	SRR5761091	SRR5761092	SRR5761093	SRR5761094	SRR5760965	SRR5760964	SRR5760967	SRR5760966	SRR5760961	SRR5760960	SRR5760963	SRR5760962	SRR5760969	SRR5760968	SRR5760890	SRR5760891	SRR5760888	SRR5760889	SRR5760886	SRR5760887	SRR5760884	SRR5760885	SRR5760892	SRR5760893	SRR5761167	SRR5761166	SRR5761164	SRR5761171	SRR5761170	SRR5761169	SRR5761168	SRR5761159	SRR5761158	SRR5761042	SRR5761043	SRR5761044	SRR5761045	SRR5761038	SRR5760959	SRR5761040	SRR5761041	SRR5760956	SRR5760957	SRR5761137	SRR5761136	SRR5761139	SRR5761138	SRR5761141	SRR5761142	SRR5761145	SRR5761144	SRR5761012	SRR5761013	SRR5761010	SRR5761011	SRR5761016	SRR5761017	SRR5761014	SRR5761015	SRR5761018	SRR5761019	SRR5761022	SRR5761023	SRR5761020	SRR5761021	SRR5761026	SRR5761027	SRR5761024	SRR5761025	SRR5761028	SRR5761029	SRR5761147	SRR5761146	SRR5761149	SRR5761148	SRR5761151	SRR5761150	SRR5761153	SRR5761152	SRR5761154	SRR5761194	SRR5761195	SRR5761197	SRR5761198	SRR5761199	SRR5761200	SRR5761201	SRR5761192	SRR5761193	SRR5760933	SRR5760932	SRR5760931	SRR5760930	SRR5760929	SRR5760928	SRR5760927	SRR5760926	SRR5760935	SRR5760934	SRR5760978	SRR5760979	SRR5760976	SRR5760977	SRR5760974	SRR5760975	SRR5760973	SRR5760971	SRR5761103	SRR5761102	SRR5761105	SRR5761104	SRR5761099	SRR5761098	SRR5761101	SRR5761100	SRR5761096	SRR5761130	SRR5761131	SRR5761132	SRR5761133	SRR5761126	SRR5761127	SRR5761128	SRR5761129	SRR5761134	SRR5761135	SRR5760877	SRR5760876	SRR5760875	SRR5760874	SRR5760881	SRR5760880	SRR5760879	SRR5760883	SRR5760882	SRR5760920	SRR5760921	SRR5760918	SRR5760919	SRR5760924	SRR5760925	SRR5760922	SRR5760923	SRR5760916	SRR5760917	SRR5761003	SRR5761002	SRR5761007	SRR5761006	SRR5761008	SRR5761001	SRR5761000	SRR5760900	SRR5760899	SRR5760898	SRR5760897	SRR5760903	SRR5760901	SRR5760896	SRR5760895	SRR5761179	SRR5761180	SRR5761181	SRR5761174	SRR5761175	SRR5761176	SRR5761177	SRR5761173	SRR5761111	SRR5761110	SRR5761113	SRR5761112	SRR5761107	SRR5761108	SRR5761115	SRR5760986	SRR5760987	SRR5760984	SRR5760985	SRR5760983	SRR5760988	SRR5760989	SRR5760955	SRR5760953	SRR5760952	SRR5760951	SRR5760950	SRR5760949	SRR5760948
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.2217520101565806	0.0183209647495361	0.003196164602477	0.1578947368421052	0.1810316682990532	0.3099669148056245	0.1470533556423127	0.2003254016676835	0.274914089347079	0.0651524208009563	0.1416536661466458	0.0947479546054368	0.2297941938121848	0.1378205128205128	0.0838434427749953	0.1762122276879831	0.2130434782608695	0.1821717020640143	0.0936392778808841	0.1059642147117296	0.4236210253082414	0.31763572116929	0.0746718312890036	0.2114641116153975	0.2515373933743305	0.2922046867527498	0.1405055849500294	0.2061796130522668	0.2136752136752136	0.2472789115646258	0.1649200220628792	0.1479234717685487	0.2236951118475559	0.3238372093023255	0.2830094668659691	0.3654679376083189	0.3838105726872247	0.4074436826640548	0.0356243252968693	0.3199052132701421	0.3313708999158957	0.2454659161976235	0.4426173347036656	0.3031732418524871	0.3410374935798664	0.150755939524838	0.1871181938911022	0.3015944815107995	0.3102758896441423	0.3153921890383984	0.3174379232505643	0.2989382879893829	0.3286826735885788	0.323512585812357	0.230062356416147	0.1311720698254364	0.2766272189349112	0.0074641719745222	0.0072390144780289	0.0327237728585178	0.0610586688971203	0.0047184017668908	0.0138877407621724	0.0394241119483315	0.4418896846337479	0.157885124646151	0.0075593952483801	0.0943147208121827	0.0361019636541041	0.2716939890710382	0.0428378378378378	0.0352508650519031	0.1088927370887236	0.2405770125639832	0.0107221006564551	0.0305837705101015	0.0174951116599773	0.0815764089844288	0.0677262483691139	0.0333847935160169	0.0062538445765839	0.3474708171206225	0.101052364650691	0.3148297130598015	0.0995931896941389	0.0116516166618118	0.0075396067951899	0.0373922544615758	0.0795859305431878	0.0974150006366993	0.07731196054254	0.1095556429414077	0.3936392075078206	0.088569056185995	0.1039447500877911	0.0919073764621628	0.0064351990422029	0.0255895634721525	0.0162443808745402	0.0087266470009832	0.1089958439469097	0.2032169117647058	0.0936770634415446	0.0083360051298493	0.0	0.419727060912016	0.0057018734727124	0.0161654985304092	0.0767642884789059	0.0244823938340637	0.2394453004622496	0.2320961218177492	0.030289727831431	0.1266715040945371	0.1849126034958601	0.0525117620276218	0.1201527264049636	0.1754654070575159	0.439486954615216	0.165142492556359	0.0646131805157593	0.246855836191664	0.0802505613993617	0.1232852620471333	0.1140125045972784	0.023741690408357	0.0514285714285714	0.113150310935841	0.1096464210915362	0.3071771728053574	0.3029393370856785	0.032218471923903	0.0776470588235294	0.0414436668038973	0.0493827160493827	0.3218762636473918	0.0338339660009902	0.2575444398511782	0.0722550319392551	0.2180685358255451	0.4371695811305409	0.1139902261620638	0.1625849467880497	0.2281077770973668	0.2846074380165289	0.0868342964235514	0.225754775107825	0.3323035732674287	0.1249854397204426	0.1471354166666666	0.3685701830863121	0.1952102803738317	0.2124207110193244	0.2561917176376215	0.0687476774433296	0.0782508630609896	0.0726181035459386	0.2618940417229476	0.2271371124659489	0.3820972813020159	0.0573543015726179	0.0	0.2129251700680272	0.2248120300751879	0.0376237623762376	0.0746113989637305	0.1321184510250569	0.0930350788002033	0.0092521202775636	0.0	0.3130240357741755	0.1001757469244288	0.2058222676200204	0.3345379452762003	0.2598243180767453	0.2222222222222222	0.1036533559898045	0.0699115044247787	0.1207023165765404	0.125	0.1065155807365439	0.1939086294416243	0.265980265980266	0.3358974358974358	0.4398148148148148	0.2058432934926959	0.0154798761609907	0.0783645655877342	0.13729216152019	0.0	0.1114982578397212	0.2616869918699187	0.1859459459459459	0.1259842519685039	0.1717081850533807	0.1588628762541806	0.5002791736460078	0.0896759608138658	0.2467866323907455	0.297569153394803	0.1789802289281997	0.2606635071090047	0.302649930264993	0.0762081784386617	0.3381592554291623	0.2556131260794473	0.168141592920354	0.3123028391167192	0.4249578414839797	0.3067434210526316	0.3706004140786749	0.3504201680672268	0.4222648752399232	0.3330188679245283	0.3414414414414414	0.389739663093415	0.1314131413141314	0.3510540788267644	0.5153901216893343	0.4307692307692308	0.2704773129051267	0.1702296120348377	0.4701492537313433	0.3476430976430976	0.3525423728813559	0.2043530834340991	0.4415094339622641	0.4035714285714286	0.1340361445783132	0.1158277744087325	0.0228873239436619	0.1169590643274853	0.2651515151515151	0.0642123287671233	0.2868039664378337	0.1939393939393939	0.0662323561346362	0.33	0.225473321858864	0.4463696369636963	0.2912885662431942	0.2840277777777777	0.0796052631578947	0.1335403726708074	0.4019539427773901	0.1373825018076645	0.1372549019607843	0.1109375	0.1279311368358563	0.1171333935561577	0.236030534351145	0.0738916256157635	0.0881872618399564	0.1345764085934333	0.1488712629652226	0.4281930547380812	0.1480446927374301	0.2723819858925664	0.1563060370591751	0.5756851204708479	0.6498649864986499	0.5374353389599782	0.0935162094763092	0.4943373125191307	0.1160997732426303	0.0391198044009779	0.3277005347593583	0.0287677114641477	0.1485411140583554	0.2278865631330182	0.2458197611292074	0.231335436382755	0.1787257019438445	0.0810663764961915	0.3052180128663331	0.2896752046474782	0.3157506455182589	0.2379363449691992	0.2367109634551495	0.3273073263558516	0.1830570902394107	0.1884430176565008	0.3206581352833638	0.0812597200622084	0.3975594091201027	0.2870619946091644	0.1649300387019946	0.2304625199362041	0.1597859327217125	0.1659009698825931	0.2184531886024423	0.1465329262974269	0.0863808322824716	0.3204395604395604	0.3252937538651824	0.3170794633642931	0.388346552776083	0.2003188097768331	0.2101930036188178	0.2327909887359199	0.0346281240590183	0.0617338003502627	0.0500577589526376	0.0	0.2801274623406721	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.1756242065171392	0.0248144712430426	0.0	0.0538316475227155	0.0801501795625204	0.1199338296112489	0.0171035508458821	0.0543014032946918	0.0384552446408116	0.0659493923092249	0.1647425897035881	0.0876220638690947	0.0522011721412021	0.1559829059829059	0.0502689667965127	0.1719957835558679	0.1052173913043478	0.2408016751420879	0.1412181542095495	0.1656063618290258	0.2619078520441272	0.2255059428204304	0.1054443727135786	0.1526306942343251	0.1263638167030351	0.1865136298421807	0.2281011169900058	0.120127057464626	0.1658896658896659	0.1333333333333333	0.1290678433535576	0.106703997511277	0.0898922949461474	0.0930232558139534	0.1092177379172894	0.1925909878682842	0.1965170704845815	0.1952334312765263	0.0341849586182079	0.1272037914691943	0.1211101766190075	0.2304565353345841	0.1606714628297362	0.1728130360205831	0.1494607087827426	0.186609071274298	0.0620185922974767	0.3052131629537487	0.1639344262295081	0.3137512307187397	0.218961625282167	0.1390179163901791	0.3202465931213498	0.3970251716247139	0.0311782080735149	0.1356608478802992	0.1009615384615384	0.0227906050955414	0.0234950469900939	0.0287536092396535	0.0507826502569004	0.0113442425459291	0.005290567909399	0.0422497308934338	0.1007664279432089	0.0447447721669253	0.0141738660907127	0.0452791878172588	0.048908403463837	0.0457923497267759	0.0295945945945945	0.0110294117647058	0.0378934501375165	0.0059329920893438	0.0125820568927789	0.018417234066302	0.0250077184316146	0.0362408708832851	0.0378365555687344	0.2199922809725974	0.0	0.21284046692607	0.0291619120071002	0.2515419683561276	0.0096429109537441	0.0	0.0	0.0154182347942211	0.0445235975066785	0.0476251114223863	0.0418002466091245	0.0610302791977978	0.0528675703858185	0.0570163299197342	0.0114713800772562	0.2036285509668178	0.0110745285842562	0.0175614651279478	0.0062321209644462	0.0390855457227138	0.0398176699289449	0.1409926470588235	0.2833651601952047	0.0	0.0354052622285007	0.0296238766226561	0.0	0.0044087723264752	0.134563282157141	0.0086141756082817	0.0707241910631741	0.1001665477040209	0.1589113257243195	0.2431844096610345	0.2883164673413063	0.1059341326453179	0.1450900847154277	0.0573770491803278	0.1394431045823284	0.0952786048490004	0.0557306590257879	0.1014447562623428	0.0867509750620494	0.0495954977136827	0.1930856932695844	0.0398860398860398	0.0121254355400696	0.1762475352646746	0.2861894788715042	0.071626146455088	0.0656660412757973	0.079165388155876	0.1319031141868512	0.1622066694112803	0.0491143317230273	0.0490632160668553	0.0856576992903119	0.3534518396031418	0.4455827407496686	0.0784008307372793	0.203334688897926	0.2055915444936924	0.2508013847929222	0.2479077362727087	0.1859504132231405	0.1076058097766671	0.2208256315465188	0.1278962001853568	0.4024461269656377	0.1940104166666666	0.1899520488230165	0.2422897196261682	0.0833456261985543	0.0974631505063672	0.2528180354267311	0.1512082853855005	0.2928514784184887	0.0663364850667867	0.0477364119859904	0.1573885703717403	0.0795559666975023	0.0474978795589482	0.1020408163265306	0.193984962406015	0.0	0.0518134715025906	0.1173120728929384	0.1311642094560244	0.0	0.0741839762611275	0.0558971492453884	0.1010544815465729	0.0572012257405515	0.109963861641714	0.0554785020804438	0.0	0.0	0.0530973451327433	0.0281727752186394	0.0916666666666666	0.3614730878186968	0.0812182741116751	0.0	0.1166666666666666	0.1712962962962963	0.2138114209827357	0.0	0.0281090289608177	0.038479809976247	0.0	0.0	0.0985772357723577	0.0	0.0978627671541057	0.152135231316726	0.1479933110367893	0.1150195421552205	0.2562170308967596	0.0848329048843187	0.3118189438390611	0.0811654526534859	0.2872037914691943	0.0	0.2407063197026022	0.0	0.0	0.1189773844641101	0.0763406940063091	0.193929173693086	0.1595394736842105	0.1842650103519668	0.1789915966386554	0.2303262955854126	0.2160377358490566	0.3504504504504504	0.1898928024502297	0.1008100810081008	0.1173235563703024	0.1145311381531854	0.1311036789297658	0.1667648791985857	0.2478226444972288	0.2591587516960651	0.0589225589225589	0.059322033898305	0.1221281741233373	0.0996226415094339	0.2914285714285714	0.1701807228915662	0.0927835051546391	0.0	0.1052631578947368	0.1145833333333333	0.0	0.3119755911517925	0.5661616161616162	0.0	0.21	0.3115318416523235	0.2384488448844884	0.3475499092558983	0.0972222222222222	0.0697368421052631	0.4968944099378882	0.2142358688066992	0.4779464931308749	0.4458968772694263	0.265625	0.387948946274859	0.373682625715146	0.1685496183206107	0.0	0.0	0.2067288204296716	0.2422208663819402	0.0971159505591524	0.1895949720670391	0.1562669560499186	0.3311416616855947	0.1125620746735332	0.11003600360036	0.104818949087939	0.197838736492103	0.1092745638200183	0.1945578231292517	0.465362673186634	0.2622459893048128	0.3937312151137827	0.3124668435013262	0.2623227548953409	0.367643865363735	0.2565720294426919	0.2786177105831533	0.2252448313384113	0.106028115320467	0.0858199102191708	0.2327554407967539	0.0639117043121149	0.1083887043189368	0.1217887725975261	0.2552486187845303	0.2751203852327448	0.2234003656307129	0.1104199066874028	0.2068079640333975	0.1819407008086253	0.2551354569812444	0.2509303561935141	0.2456676860346585	0.1393568147013782	0.3175033921302578	0.3240296554731792	0.1670870113493064	0.2312087912087912	0.2337662337662337	0.2030443756449948	0.0716900549115314	0.3214665249734325	0.3368516284680338	0.4013350020859407	0.044263775971093	0.105954465849387	0.098575279168271	0.0	0.1946697566628041	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0	0.0	0.0077147265558031	0.0	0.0401157981803143	0.0089235917456776	0.0	0.0119456717394861	0.0053795576808129	0.0	0.0	0.0	0.0	0.0172509738452977	0.0518271257905832	0.0066666666666666	0.0182470834579718	0.0	0.0	0.0277741726151849	0.0181175714744619	0.0	0.0136157337367624	0.0	0.0	0.0	0.0108768890172297	0.0314685314685314	0.1006802721088435	0.0	0.1068595426971535	0.0190555095277547	0.0476744186046511	0.0076731439960139	0.0265381282495667	0.0234719162995594	0.0577864838393731	0.0091759625764663	0.0084360189573459	0.0	0.0343964978111319	0.013703323055841	0.0	0.0	0.0	0.0196547144754316	0.0173018206491009	0.0	0.0150968165408598	0.0253950338600451	0.0404777704047777	0.0	0.0151601830663615	0.0	0.0	0.0	0.0083598726114649	0.0459740919481838	0.0317613089509143	0.0276018640219859	0.0226884850918582	0.1427626684301893	0.0557050592034445	0.0	0.008948954433385	0.0	0.0	0.0924502988169289	0.0	0.0633783783783783	0.0065960207612456	0.0	0.0	0.0057986870897155	0.0108271012389775	0.0059689204486981	0.0348628910017913	0.0042699561143399	0.0	0.0	0.0084046692607003	0.0320781032078103	0.0117994100294985	0.0	0.0	0.014792899408284	0.0	0.005120213713268	0.0171908824652998	0.006905055487053	0.0	0.0	0.0095488513700525	0.0	0.0778228694199092	0.0	0.0	0.0162443808745402	0.0169616519174041	0.0249363185413594	0.0290441176470588	0.0	0.063909372662178	0.0208370121843545	0.0223011206035726	0.0	0.0	0.0	0.0134502040199486	0.0192604006163328	0.0076136093266714	0.0288264559555165	0.1815072043122214	0.0655933762649494	0.1520716345424191	0.2062999642047488	0.0944706863017504	0.0213768910326682	0.0	0.1895415472779369	0.0881405259328552	0.0	0.0	0.0	0.2966524216524216	0.0048780487804878	0.0	0.0	0.0072790799242975	0.0085053158223889	0.0518563976679963	0.0225605536332179	0.1650885137916838	0.2356414385399892	0.0	0.1485393629311767	0.0285241835469202	0.1825358563336145	0.0076583592938733	0.0154534363562423	0.0	0.0388511347608667	0.0	0.0	0.0	0.11090573012939	0.0	0.1056493884682586	0.0	0.0	0.0	0.0069331759846585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1600370027752081	0.2400339270568278	0.0346938775510204	0.1082706766917293	0.0	0.049740932642487	0.0	0.034570411794611	0.0	0.0	0.0799329234209055	0.0	0.2492339121552604	0.2978833247289623	0.270920018492834	0.2705761316872428	0.3135089209855565	0.0628318584070796	0.0114827425061753	0.0972222222222222	0.0844192634560906	0.0	0.0	0.0	0.0	0.0	0.0	0.0724020442930153	0.247980997624703	0.0	0.0627177700348432	0.0802845528455284	0.0497297297297297	0.0	0.0498220640569395	0.0367892976588628	0.0714684533780011	0.0	0.0771208226221079	0.0	0.0353798126951092	0.0426540284360189	0.0	0.0	0.0	0.0	0.0442477876106194	0.0	0.0472175379426644	0.0559210526315789	0.0	0.0705882352941176	0.0	0.0584905660377358	0.0	0.0	0.0	0.0	0.0307802433786685	0.0	0.0	0.0546318289786223	0.0495251017639077	0.0732323232323232	0.0762711864406779	0.0	0.0528301886792452	0.0321428571428571	0.0	0.0230442692540933	0.0	0.0	0.0700757575757575	0.0	0.0	0.0373737373737373	0.0	0.0	0.0	0.0	0.0335753176043557	0.0631944444444444	0.0164473684210526	0.0	0.0	0.0730296456977585	0.064633260711692	0.0578125	0.0	0.0087323095453176	0.0329770992366412	0.0	0.0	0.0	0.0	0.0497351383166568	0.0	0.0	0.0	0.0134265219790325	0.0128262826282628	0.023958616934386	0.0	0.0	0.0467120181405895	0.0321923390383048	0.0372192513368983	0.0210390725633319	0.0	0.0	0.0258414766558089	0.0175254118471784	0.0	0.0	0.0	0.0351201478743068	0.016967908520841	0.1175564681724846	0.0	0.0	0.0114180478821362	0.0	0.0160877513711151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0994330571303968	0.0	0.0	0.0	0.0	0.0274557657107992	0.0499468650371944	0.0425211097708082	0.0446391322486441	0.0	0.0398423817863397	0.0361956103195995	0.0	0.0237543453070683	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Sarcina; s__	0.0	0.0	0.0019976028765481	0.0546888393622492	0.0019588638589618	0.0367038875103391	0.0	0.0	0.0042546228113238	0.0085674437138872	0.010764430577223	0.0	0.0283494616328199	0.0044515669515669	0.0020404377666481	0.0	0.0194202898550724	0.0424768172300329	0.0150160283448624	0.0127236580516898	0.0	0.0	0.0	0.0	0.0	0.0	0.0164609053497942	0.0	0.0	0.0214285714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0075089781260202	0.0	0.0	0.0033641715727502	0.0078173858661663	0.0054813292223364	0.0	0.0	0.0	0.0320053120849933	0.0	0.0	0.0	0.003668171557562	0.0	0.0	0.0	0.1368559238595339	0.0	0.0229289940828402	0.0188097133757961	0.0	0.0028873917228103	0.0069303381527064	0.0	0.1993056129618913	0.0	0.0547807513506721	0.0380787142726691	0.0	0.1350253807106599	0.0053665081107452	0.0	0.0	0.248810553633218	0.1284506468371193	0.0050023266635644	0.1685995623632385	0.0092644268333519	0.0116291036328084	0.0	0.1469576562685328	0.0	0.1280500307566126	0.1212451361867704	0.0362622036262203	0.1322964154822561	0.0442971221937622	0.0833090591319545	0.0446650124069478	0.0655578487313342	0.0235975066785396	0.0	0.0	0.1491938655131734	0.0	0.021311929144755	0.0024581528736977	0.0009548818333731	0.0164621370847051	0.0	0.4372701266857376	0.0	0.0122000268132457	0.0753676470588235	0.0170804158709951	0.3166613230736347	0.4073812466890341	0.0379451902807056	0.0445289166440401	0.0170698620845579	0.001548187330667	0.0	0.0	0.0017844396859386	0.0750658472344161	0.0030061158909505	0.0	0.0019729852784944	0.0009545400310225	0.0	0.0	0.0049978732454274	0.0123209169054441	0.0	0.0	0.0	0.0	0.007716049382716	0.0	0.0	0.0	0.0	0.0	0.003375268487266	0.0	0.0085083024564292	0.0181159420289855	0.0281709125219032	0.0110579303515431	0.0	0.0	0.0	0.0077267181781211	0.0	0.0	0.0	0.0	0.0028111822583164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0025067682743407	0.0	0.0	0.0	0.0	0.0	0.0158128352136119	0.1165587419056429	0.0093299406276505	0.1421768707482993	0.0	0.0	0.0	0.2209567198177676	0.0045754956786985	0.0	0.009891196834817	0.0134153158188932	0.0	0.0	0.0113577697470314	0.0420711974110032	0.0277777777777777	0.022090059473237	0.1088495575221239	0.0060751719073369	0.0722222222222222	0.0	0.0	0.0	0.0724358974358974	0.0	0.0816733067729083	0.2613003095975232	0.1873935264054514	0.0	0.0045662100456621	0.0	0.016260162601626	0.1091891891891891	0.0	0.0	0.0	0.0	0.0	0.0732647814910025	0.0	0.0	0.0123222748815165	0.0139470013947001	0.0	0.0	0.0	0.0	0.0037854889589905	0.0168634064080944	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0114531138153185	0.0	0.0	0.0015835312747426	0.0	0.0	0.0059322033898305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0082815734989648	0.0	0.0	0.0	0.0	0.0077174235678242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0021443888491779	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0584387265590928	0.0	0.0	0.0	0.0	0.0012202562538133	0.0130180658873538	0.0165862484921592	0.0133500208594075	0.0	0.0	0.0	0.0222551928783382	0.0	0.0064991334488734
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__	0.0685569191705459	0.0076530612244897	0.0039952057530962	0.0150865763757929	0.1692784851452824	0.0023779983457402	0.0598624279605874	0.0191173479764083	0.1728031418753068	0.0749153217772464	0.0817472698907956	0.1892319873317498	0.0173095270546544	0.0676638176638176	0.0908922277870525	0.0096626844694307	0.1684057971014492	0.0037391564463057	0.0646195377087902	0.0681908548707753	0.0	0.0	0.0426081342801807	0.0030257186081694	0.001388613370363	0.0454328072692491	0.0705467372134038	0.0017326017903551	0.0	0.1044217687074829	0.0104798676227247	0.0429304713019132	0.0248550124275062	0.0	0.0081714000996512	0.002924610051993	0.0010324889867841	0.0812928501469147	0.0133141417776178	0.0046445497630331	0.0622371740958788	0.0	0.052757793764988	0.0081475128644939	0.0338983050847457	0.0181425485961123	0.0127490039840637	0.004862603188963	0.0191923230707716	0.0	0.0564334085778781	0.0099535500995355	0.1077222582738481	0.0108695652173913	0.0039382999671808	0.0024937655860349	0.0	0.0	0.0006350012700025	0.0027670837343599	0.0119488588839765	0.0	0.0070265355046705	0.0	0.0	0.001187106200347	0.0017548596112311	0.0	0.0010976948408342	0.0	0.0021621621621621	0.0	0.000916777019456	0.0031409958120055	0.0021881838074398	0.0	0.005557270762581	0.0013779798814937	0.0	0.0040524893863373	0.0	0.0115175097276264	0.0	0.0029498525073746	0.004218773542263	0.0	0.0	0.0064343814495568	0.0	0.0007640392206799	0.001849568434032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013406622871698	0.0027573529411764	0.0	0.0	0.0022073106127494	0.0	0.0	0.0	0.0215456070184492	0.0	0.0798151001540832	0.1407328098976921	0.0007316359379572	0.0180366953457033	0.0	0.00106237668842	0.0	0.0	0.0002192501644376	0.0	0.0	0.0007275750961438	0.0007091360359295	0.0	0.0	0.0	0.0	0.0	0.0	0.0861843063036832	0.0811757348342714	0.0090518563976679	0.0	0.0039796898586523	0.0	0.0226445612616255	0.0026406997854431	0.0	0.0	0.0003894080996884	0.0	0.0	0.0006411078343377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1163888479126714	0.0	0.0	0.0	0.0	0.0	0.0011674665974834	0.0099870538191233	0.0943570767807585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0202108963093145	0.0224719101123595	0.0	0.0032362459546925	0.1502057613168724	0.0050977060322854	0.0	0.0775085119166833	0.0152777777777777	0.1722379603399433	0.0101522842639593	0.0	0.0	0.0	0.0	0.0	0.0	0.0014251781472684	0.341451040081177	0.0685249709639953	0.0	0.0	0.0	0.0035587188612099	0.0	0.0240089335566722	0.0203466465712132	0.0089974293059125	0.0	0.0145681581685744	0.0	0.0	0.0	0.0	0.0	0.0127826941986234	0.1608832807570978	0.0674536256323777	0.0098684210526315	0.0	0.0058823529411764	0.0	0.0056603773584905	0.0891891891891892	0.1408882082695252	0.297029702970297	0.1668194317140238	0.0114531138153185	0.0093645484949832	0.0129640542133176	0.0855106888361045	0.0	0.0117845117845117	0.009322033898305	0.022974607013301	0.0641509433962264	0.0171428571428571	0.0451807228915662	0.0	0.0	0.0	0.0691287878787878	0.0	0.0	0.0	0.0	0.025	0.1256454388984509	0.0082508250825082	0.0598911070780399	0.0201388888888888	0.0	0.0046583850931677	0.0167480809490579	0.0137382501807664	0.0094408133623819	0.009375	0.0029682398337785	0.005420054200542	0.0366412213740458	0.0	0.0	0.1062018646128901	0.0878584502745576	0.1662742789876398	0.0736731843575419	0.0222463374932175	0.0490137477585176	0.1116424498804487	0.1017101710171017	0.1015518649605227	0.1213632585203657	0.0909090909090909	0.0725623582766439	0.0354523227383863	0.0	0.047230571060541	0.1161803713527851	0.0	0.0125950054288816	0.0525762355415352	0.1058315334773218	0.0095212187159956	0.0426495115558732	0.041193556905202	0.0793065289561047	0.1401437371663244	0.0797342192691029	0.1988582302568982	0.0552486187845303	0.090529695024077	0.0778793418647166	0.0	0.1072575465639049	0.1273584905660377	0.2214944924084549	0.1698564593301435	0.2296126401630988	0.1225114854517611	0.0094979647218453	0.0	0.0920554854981084	0.2325274725274725	0.2581941867656153	0.2285861713106295	0.2217815741305674	0.0852816153028692	0.1170084439083232	0.0884438881935753	0.022583559168925	0.1230297723292469	0.1020408163265306	0.0	0.1039976825028968	0.0
