,root:BJN,root:TT
MTC3T1,0.056568388,0.9434316
MTC3T2,0.07899157,0.9210084
MTT3T4,0.06317007,0.93683
MTT3T5a,0.09572203,0.904278
MTT3T5b,0.1400296,0.8599704
MTT3T7,0.0281718,0.97182816
MTT3T11,0.028166749,0.9718332
MTT3T12,0.034454517,0.9655455
MTT3T13,0.17965993,0.82034004
MTT3T14,0.028165901,0.9718341
MTT3T15,0.028165901,0.9718341
MTT3T9,0.60882515,0.39117482
MTT3T17,0.028165901,0.9718341
MTT3T18,0.0282224,0.9717776
MTT3T19,0.060957234,0.93904275
MTB3T21,0.5614291,0.438571
MTB3T22,0.0988019,0.9011981
MTB3T23,0.07997914,0.9200209
MTB3T24,0.07892882,0.9210712
MTB3T25,0.0976865,0.9023135
