,root:D,root:W
SRR5761075,0.57150286,0.42849714
SRR5761058,0.566167,0.43383303
SRR5761064,0.5730999,0.42690003
SRR5761120,0.5699825,0.43001744
SRR5761124,0.5620149,0.43798518
SRR5760998,0.5727525,0.4272475
SRR5760999,0.57119083,0.42880917
SRR5761080,0.5465582,0.45344183
SRR5761187,0.04556259,0.95443743
SRR5761031,0.03604174,0.9639583
SRR5761034,0.030863173,0.96913683
SRR5760873,0.039213516,0.9607865
SRR5761055,0.56578,0.43422008
SRR5761054,0.028623514,0.9713765
SRR5760941,0.08713183,0.9128682
SRR5760856,0.56576866,0.43423134
SRR5760854,0.55056494,0.44943506
SRR5761088,0.5503737,0.4496263
SRR5761095,0.571606,0.42839405
SRR5761165,0.55145377,0.44854623
SRR5761140,0.028601084,0.97139895
SRR5761143,0.04373924,0.95626074
SRR5761155,0.5701473,0.4298527
SRR5761196,0.5619351,0.43806487
SRR5760972,0.53444874,0.46555123
SRR5760970,0.57247293,0.42752713
SRR5761097,0.56576735,0.43423256
SRR5760878,0.502948,0.497052
SRR5761005,0.51748115,0.48251885
SRR5761004,0.55167884,0.4483212
SRR5761009,0.56955874,0.43044123
SRR5760904,0.53019303,0.46980697
SRR5760902,0.565315,0.43468502
SRR5761178,0.56669325,0.43330672
SRR5761172,0.57275164,0.4272484
SRR5761106,0.57252747,0.42747256
SRR5761109,0.5705347,0.42946532
SRR5761114,0.56685954,0.43314046
SRR5760982,0.5618873,0.4381127
SRR5760980,0.5710913,0.4289087
SRR5760981,0.55128926,0.44871077
SRR5760954,0.5727527,0.42724726
SRR5760947,0.5718748,0.42812523
SRR5760946,0.56511956,0.43488038
