#OTU ID	MTC7T1	MTC7T2	MTT7T3	MTT7T4	MTT7T5	MTT7T7	MTT7T10	MTT7T12	MTT7T13	MTT7T14	MTT7T8	MTT7T9	MTT7T17	MTT7T18	MTT7T19	MTB7T21	MTB7T22	MTB7T23	MTB7T24
k__Bacteria;p__[Thermi]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73305738217e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria	0.0	5.16763818265e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.68016059106e-06	0.0	0.0	0.0	0.0	0.0	2.00820687208e-05	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.00192075183715	0.00211873165488	0.0029074584595	0.00696531350278	0.0674403328224	0.0109035635872	0.072317750603	0.0133454589282	0.00507024188862	0.0368450414648	0.0629531911297	0.0656747739991	0.0423008538325	0.0659645582393	0.0176320563369	0.00207534804282	0.00661965976204	0.0031441923139999	0.0050034746351599
k__Bacteria;p__Actinobacteria;c__Coriobacteriia	0.000780305433841	0.0008319897474059	0.00070803392537	0.000432944532165	0.00098532953799	0.000101334234082	0.00972600347912	0.00550034514118	0.00184372432313	0.00283953790125	0.00438927495457	0.00556033864256	0.0117165875357	0.00773389440855	0.00185424434522	0.00426985482494	0.00142746217617	0.00104518480768	0.000542043085476
k__Bacteria;p__Bacteroidetes;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia	0.5307105924319999	0.532659473314	0.41784546783	0.276536953089	0.264684147143	0.5301942239490001	0.0617252016012	0.150256938433	0.525581674983	0.199131214232	0.0803352029511	0.0081342373367799	0.0737578398233999	0.140952948798	0.424240395751	0.263688360177	0.451885897144	0.662301652429	0.435691452398
k__Bacteria;p__Bacteroidetes;c__Cytophagia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71991721465e-05	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.0	0.0	0.0	0.0	0.0	6.75561560547e-06	0.0	0.0	5.34412847285e-05	0.0	0.0	0.0	6.51283353849e-06	0.0001146611476429	0.0	0.0	0.0	0.0	2.77970813065e-05
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	0.0	0.0	0.0	0.0	0.0	0.000486404323594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	0.0	0.0	0.0	0.0	0.0	0.000108089849688	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2	0.0	1.03352763653e-05	0.0	1.27336627107e-05	0.0	6.75561560547e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.73305738217e-06	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast	8.57478498727e-06	0.0001240233163829	0.0	0.0	2.05276987081e-05	1.35112312109e-05	0.000142268667913	6.57411769862e-05	0.000835020073883	6.26829558775e-06	3.62251027887e-05	6.27780169321e-05	0.0	0.000108928090261	0.000374865282789	5.95793696503e-05	7.843198770189999e-06	8.63789097254e-06	1.38985406532e-05
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Elusimicrobia;c__Elusimicrobia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	0.000137196559796	4.13411054612e-05	0.000135580964433	0.0004711455202969	0.00114955112765	0.000270224624219	0.00701643203114	0.0014682196193599	0.0128593091377999	0.0023506108454099	0.00179314258804	0.0308060697374	0.0093915059625	0.0238380525951	0.000656014244881	0.000615653486386	0.000188236770484	0.00010365469167	0.0009867963863789
k__Bacteria;p__Firmicutes;c__Clostridia	0.41073220089	0.383345735665	0.547325288863	0.642629756023	0.626300087585	0.386421212633	0.8116944845020001	0.773302508026	0.305463703347	0.70036920261	0.757690287446	0.695903285981	0.7055026930570001	0.7387560412090001	0.526023014051	0.644519690982	0.506764758939	0.300598605844	0.478610145935
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	0.0016206343625899	0.0021755756748899	0.00201864991489	0.00320888300311	0.00297651631268	0.0505860496538	0.00263843711402	0.00324323139799	0.00107550585516	0.0061491979715799	0.00463681315696	0.016636174487	0.0186397295872	0.0058649177019599	0.00679443325055	0.00919508271602	0.00163922854297	0.00179668132229	0.00418346073662
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	0.0	5.16763818265e-06	0.0	0.0	2.05276987081e-05	6.75561560547e-06	0.0	0.0	0.0	5.0146364702e-05	0.0	1.79365762663e-05	2.6051334154e-05	5.73305738217e-06	2.67760916278e-05	9.92989494171e-06	1.56863975404e-05	1.72757819451e-05	0.000333564975678
k__Bacteria;p__GN02;c__3BR-5F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__GN02;c__BD1-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__OD1;c__ABY1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__OM190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	0.0	2.58381909132e-05	0.0	0.0	2.05276987081e-05	6.75561560547e-05	2.58670305296e-05	5.47843141552e-06	6.68016059106e-05	1.25365911755e-05	3.01875856573e-05	0.0	6.51283353849e-06	8.59958607326e-05	0.0	0.0	0.0	0.0	2.77970813065e-05
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.0311350442888	0.023936500062	0.00262123197903	0.00234299393878	0.0131377271732	0.0175578449585999	0.0001034681221179	0.0003999254933329	0.0520384510044	0.00998539487128	0.000597714196014	0.000143492610131	0.000683847521541	0.000613437139892	0.0137562170738	0.00909578376661	0.0218354653762	0.020756852007	0.0297567755385999
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	0.00203222404198	0.0102474265162	0.00131061598952	0.000942291040595	0.00112218086271	0.000344536395879	0.0001034681221179	0.000180788236712	0.00498339980093	0.000633097854362	0.0003622510278869	4.48414406658e-05	0.000280051842155	0.00136446765696	0.000575685969997	0.000317756638135	0.00276080596711	0.00145116568339	0.0008617095205
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	2.57243549618e-05	0.0	0.0	0.0	0.0	6.75561560547e-06	6.46675763239e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00820687208e-05	0.0	0.0	0.0	0.000138985406532
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.0010804229084	0.000883666129232	0.00070803392537	0.000789487088066	0.0009100613093929	0.00218206384057	0.0326183254978	0.0021749372719599	0.0158987822067	0.0396218964101	0.00269273264063	0.174325584732	0.137264479657	0.0057559896117	0.0036616305301	0.00950290945922	0.00101177264135	0.0002936882930659	0.0401528839472
k__Bacteria;p__Spirochaetes;c__Spirochaetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Synergistetes;c__Synergistia	0.0	6.71792963744e-05	1.50645516036e-05	0.000191004940661	2.05276987081e-05	0.0	1.29335152648e-05	1.64352942466e-05	2.00404817732e-05	0.0	4.22626199202e-05	8.96828813316e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
