,root:D,root:W
SRR5761071,0.576014,0.42398602
SRR5761069,0.5755572,0.4244428
SRR5761073,0.57972574,0.42027423
SRR5761117,0.5789654,0.42103454
SRR5760868,0.57793534,0.4220646
SRR5760867,0.5360721,0.46392792
SRR5760912,0.576014,0.42398602
SRR5760914,0.54778767,0.4522123
SRR5760996,0.54575026,0.4542497
SRR5761077,0.02875052,0.97124946
SRR5761185,0.039618045,0.960382
SRR5761186,0.55387825,0.44612175
SRR5761190,0.5700803,0.42991966
SRR5761037,0.030003669,0.96999633
SRR5760945,0.06257593,0.9374241
SRR5760860,0.028687514,0.97131246
SRR5760852,0.5504032,0.44959685
SRR5761089,0.5429672,0.4570327
SRR5760964,0.5567567,0.44324335
SRR5760961,0.50647855,0.49352142
SRR5760884,0.54937536,0.45062464
SRR5760956,0.576014,0.42398602
SRR5761021,0.57982975,0.4201703
SRR5761029,0.028687514,0.97131246
SRR5761150,0.55838466,0.44161534
SRR5761153,0.52642196,0.47357807
SRR5760928,0.5572306,0.4427695
SRR5760926,0.559364,0.440636
SRR5760979,0.5799754,0.4200246
SRR5761105,0.57649374,0.42350623
SRR5761099,0.5551007,0.44489932
SRR5761098,0.5591316,0.44086832
SRR5761126,0.55851394,0.4414861
SRR5760879,0.52905566,0.47094432
SRR5760920,0.55837536,0.4416246
SRR5760921,0.5747667,0.42523327
SRR5761181,0.5798471,0.4201529
SRR5761176,0.57461375,0.42538622
SRR5761177,0.53559166,0.46440834
SRR5761173,0.57822263,0.4217774
SRR5761108,0.5602169,0.4397832
SRR5760983,0.5798282,0.42017177
SRR5760955,0.57051575,0.42948428
