taxonomy	SRR5761060	SRR5761059	SRR5761119	SRR5761116	SRR5760866	SRR5760992	SRR5760991	SRR5761085	SRR5761189	SRR5761030	SRR5761033	SRR5761162	SRR5761160	SRR5761161	SRR5760894	SRR5761050	SRR5760857	SRR5761086	SRR5761091	SRR5760965	SRR5760969	SRR5760888	SRR5761167	SRR5761040	SRR5761139	SRR5761011	SRR5761016	SRR5761018	SRR5761020	SRR5761147	SRR5761151	SRR5761194	SRR5760930	SRR5760927	SRR5760978	SRR5760975	SRR5760973	SRR5760874	SRR5760896	SRR5761180	SRR5761174	SRR5761175	SRR5761113	SRR5760949
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0651524208009563	0.0947479546054368	0.1821717020640143	0.4236210253082414	0.1479234717685487	0.3153921890383984	0.3286826735885788	0.323512585812357	0.0075593952483801	0.0352508650519031	0.1088927370887236	0.101052364650691	0.0995931896941389	0.0116516166618118	0.0075396067951899	0.1095556429414077	0.0244823938340637	0.1266715040945371	0.1754654070575159	0.246855836191664	0.3071771728053574	0.0414436668038973	0.1139902261620638	0.0726181035459386	0.2129251700680272	0.1001757469244288	0.2058222676200204	0.1036533559898045	0.1065155807365439	0.13729216152019	0.1859459459459459	0.0896759608138658	0.3067434210526316	0.4222648752399232	0.1314131413141314	0.1702296120348377	0.4701492537313433	0.1372549019607843	0.2896752046474782	0.2367109634551495	0.1830570902394107	0.1884430176565008	0.2304625199362041	0.2801274623406721
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0659493923092249	0.0876220638690947	0.2408016751420879	0.2619078520441272	0.106703997511277	0.3137512307187397	0.3202465931213498	0.3970251716247139	0.0141738660907127	0.0110294117647058	0.0378934501375165	0.0291619120071002	0.0096429109537441	0.0	0.0	0.0610302791977978	0.0086141756082817	0.2431844096610345	0.0573770491803278	0.1014447562623428	0.071626146455088	0.1622066694112803	0.2055915444936924	0.2928514784184887	0.1020408163265306	0.1010544815465729	0.0572012257405515	0.0	0.3614730878186968	0.038479809976247	0.0	0.2562170308967596	0.1595394736842105	0.2303262955854126	0.1008100810081008	0.2478226444972288	0.2591587516960651	0.4458968772694263	0.0858199102191708	0.1083887043189368	0.2552486187845303	0.2751203852327448	0.2509303561935141	0.1946697566628041
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0053795576808129	0.0	0.0182470834579718	0.0277741726151849	0.1068595426971535	0.0150968165408598	0.0	0.0151601830663615	0.0	0.0065960207612456	0.0	0.0320781032078103	0.0	0.0	0.014792899408284	0.0	0.0134502040199486	0.1815072043122214	0.0944706863017504	0.0881405259328552	0.0072790799242975	0.1650885137916838	0.0	0.0	0.0346938775510204	0.0	0.2492339121552604	0.3135089209855565	0.0844192634560906	0.247980997624703	0.0497297297297297	0.0	0.0559210526315789	0.0	0.0	0.0546318289786223	0.0495251017639077	0.064633260711692	0.0351201478743068	0.0	0.0114180478821362	0.0	0.0	0.0237543453070683
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Sarcina; s__	0.0085674437138872	0.0	0.0424768172300329	0.0	0.0	0.0	0.0	0.0	0.0	0.248810553633218	0.1284506468371193	0.0362622036262203	0.0442971221937622	0.0833090591319545	0.0446650124069478	0.1491938655131734	0.0	0.0030061158909505	0.0	0.0	0.0	0.0085083024564292	0.0	0.0	0.1421768707482993	0.0	0.0	0.022090059473237	0.0	0.0	0.1091891891891891	0.0	0.0	0.0	0.0	0.0015835312747426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__	0.0749153217772464	0.1892319873317498	0.0037391564463057	0.0	0.0429304713019132	0.0	0.1077222582738481	0.0108695652173913	0.0017548596112311	0.0	0.000916777019456	0.0	0.004218773542263	0.0	0.0	0.0	0.0	0.0180366953457033	0.0	0.0007275750961438	0.0861843063036832	0.0039796898586523	0.0	0.0	0.0	0.0202108963093145	0.0224719101123595	0.0050977060322854	0.1722379603399433	0.0014251781472684	0.0	0.0203466465712132	0.0098684210526315	0.0	0.297029702970297	0.0855106888361045	0.0	0.0094408133623819	0.041193556905202	0.0797342192691029	0.0552486187845303	0.090529695024077	0.1698564593301435	0.1039976825028968
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.0312811316995417	0.0192662971760358	0.0	0.0068786502271252	0.0059107170633068	0.0	0.0103828682673588	0.0	0.1139308855291576	0.0823961937716263	0.0086584496281959	0.0423481678711804	0.0486665662196775	0.0225750072822604	0.0061080358847108	0.0065277231616201	0.0368747166389602	0.0171037628278221	0.0031953320366768	0.0055087828708034	0.0257679429320133	0.111431316042267	0.0525059665871121	0.0521128356179902	0.0	0.0	0.0137895812053115	0.0781648258283772	0.0	0.0	0.0	0.0	0.0106907894736842	0.0	0.0189018901890189	0.0	0.0	0.0261437908496732	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0	0.0168910002639218	0.0088244092132814	0.017391304347826	0.0631513454658578	0.0275680997702658	0.0	0.0417620137299771	0.0074244060475161	0.008326124567474	0.029744321075685	0.0251046025104602	0.0021093867711315	0.0	0.0	0.0129767990562327	0.0057427837388544	0.0	0.0112531258682967	0.0	0.0112097830834182	0.0109784547824893	0.0	0.0154072731392319	0.0210884353741496	0.0	0.0229826353421859	0.0	0.0220963172804532	0.0090261282660332	0.0	0.0	0.0493421052631578	0.0825335892514395	0.0351035103510351	0.0	0.0	0.0	0.0163717982571956	0.0	0.0224677716390423	0.0150882825040128	0.0284423179160021	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	0.0	0.0079176563737133	0.0	0.0	0.0	0.0	0.0042180402336145	0.0	0.2092332613390928	0.0150302768166089	0.0	0.0	0.1719150218472201	0.0486454995630643	0.6198702042374499	0.0600865119937082	0.0317364364515641	0.0	0.0047235343150875	0.0	0.0	0.0	0.0	0.0067973263849552	0.0	0.1239015817223198	0.0214504596527068	0.0297366185216652	0.0	0.0	0.0	0.0	0.0	0.0	0.0126012601260126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.0063757720661486	0.0	0.0	0.0102530824140168	0.0194431482345621	0.0068920249425664	0.0	0.0	0.0284827213822894	0.0	0.0577569522257308	0.0174971472042601	0.0	0.006990969997087	0.001431570910479	0.0067636649626425	0.0	0.0642686845651497	0.0127813281467074	0.0062363579669473	0.0	0.0157815287498284	0.0	0.0316075676900419	0.0530612244897959	0.0	0.0051072522982635	0.0	0.0	0.0	0.0281081081081081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0040515653775322	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.0	0.0380047505938242	0.0131618306909961	0.0	0.0013999066728884	0.0	0.0301752109020116	0.0	0.0564254859611231	0.0	0.0	0.0	0.0033147506403495	0.0026216137489076	0.0	0.0	0.0553120749584403	0.0058049134445941	0.0	0.0080033260575823	0.0	0.0039796898586523	0.0687578133878849	0.0	0.0	0.0043936731107205	0.0	0.0	0.0	0.0	0.0	0.0	0.0074013157894736	0.0	0.0	0.0	0.0162822252374491	0.0501089324618736	0.0	0.013704318936877	0.0	0.0	0.0	0.0
