taxonomy	SRR5761118	SRR5761123	SRR5760911	SRR5760906	SRR5760908	SRR5760995	SRR5760990	SRR5761084	SRR5761076	SRR5761035	SRR5761048	SRR5760939	SRR5760944	SRR5760942	SRR5760936	SRR5761090	SRR5761093	SRR5760967	SRR5760960	SRR5761171	SRR5761159	SRR5761042	SRR5761041	SRR5761136	SRR5761141	SRR5761142	SRR5761027	SRR5761146	SRR5761195	SRR5761201	SRR5761193	SRR5760929	SRR5761131	SRR5761134	SRR5760875	SRR5760880	SRR5760924	SRR5761007	SRR5761006	SRR5761001	SRR5760900	SRR5760897	SRR5761111	SRR5760951
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0936392778808841	0.31763572116929	0.3654679376083189	0.3313708999158957	0.4426173347036656	0.3102758896441423	0.2989382879893829	0.230062356416147	0.0047184017668908	0.0107221006564551	0.0974150006366993	0.0162443808745402	0.0087266470009832	0.2032169117647058	0.0083360051298493	0.1201527264049636	0.165142492556359	0.1232852620471333	0.0514285714285714	0.2846074380165289	0.1249854397204426	0.3685701830863121	0.2618940417229476	0.0	0.0376237623762376	0.0746113989637305	0.3358974358974358	0.0	0.2467866323907455	0.0762081784386617	0.2556131260794473	0.3706004140786749	0.2868039664378337	0.2840277777777777	0.1373825018076645	0.1279311368358563	0.1480446927374301	0.1160997732426303	0.0391198044009779	0.0287677114641477	0.2278865631330182	0.1787257019438445	0.2870619946091644	0.0500577589526376
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.1412181542095495	0.2255059428204304	0.1925909878682842	0.1211101766190075	0.1606714628297362	0.1639344262295081	0.1390179163901791	0.0311782080735149	0.0113442425459291	0.0125820568927789	0.0476251114223863	0.0062321209644462	0.0390855457227138	0.1409926470588235	0.0	0.1450900847154277	0.0952786048490004	0.0495954977136827	0.0121254355400696	0.1859504132231405	0.4024461269656377	0.1899520488230165	0.0663364850667867	0.0474978795589482	0.0	0.0518134715025906	0.1166666666666666	0.0	0.0848329048843187	0.2407063197026022	0.0	0.1842650103519668	0.3119755911517925	0.0972222222222222	0.4779464931308749	0.387948946274859	0.1895949720670391	0.1945578231292517	0.465362673186634	0.3937312151137827	0.2623227548953409	0.2786177105831533	0.1819407008086253	0.098575279168271
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.0	0.0181175714744619	0.0265381282495667	0.0	0.013703323055841	0.0	0.0404777704047777	0.0	0.0226884850918582	0.0057986870897155	0.0171908824652998	0.0162443808745402	0.0169616519174041	0.0290441176470588	0.063909372662178	0.2062999642047488	0.0	0.0	0.0048780487804878	0.0	0.1056493884682586	0.0	0.0	0.2400339270568278	0.0	0.049740932642487	0.0	0.0	0.0771208226221079	0.0	0.0	0.0	0.0	0.0631944444444444	0.0730296456977585	0.0	0.0	0.0467120181405895	0.0321923390383048	0.0210390725633319	0.0	0.0	0.0	0.0361956103195995
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Sarcina; s__	0.0150160283448624	0.0	0.0	0.0033641715727502	0.0054813292223364	0.0	0.0	0.1368559238595339	0.0	0.1685995623632385	0.0	0.4372701266857376	0.0	0.0753676470588235	0.3166613230736347	0.0009545400310225	0.0049978732454274	0.0	0.0	0.0	0.0	0.0	0.0	0.0093299406276505	0.0	0.0	0.0724358974358974	0.0045662100456621	0.0732647814910025	0.0	0.0	0.0	0.0	0.0	0.0	0.0077174235678242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Succinivibrionaceae; g__Succinivibrio; s__	0.0646195377087902	0.0	0.002924610051993	0.0622371740958788	0.052757793764988	0.0191923230707716	0.0099535500995355	0.0039382999671808	0.0	0.0021881838074398	0.0007640392206799	0.0	0.0	0.0027573529411764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.341451040081177	0.0089974293059125	0.0	0.0	0.0	0.0	0.0201388888888888	0.0137382501807664	0.0029682398337785	0.0736731843575419	0.0725623582766439	0.0354523227383863	0.047230571060541	0.0	0.1058315334773218	0.1273584905660377	0.1020408163265306
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.005230302007761	0.005717956954706	0.0	0.013036164844407	0.0	0.0691723310675729	0.0063039150630391	0.0	0.0602349161730749	0.0056892778993435	0.0416401375270597	0.0248263179403351	0.0791543756145526	0.0340992647058823	0.0302447365608635	0.0	0.0035091450446618	0.0775589166373549	0.0854355400696864	0.0206611570247933	0.0	0.0044681778552746	0.0511781479813897	0.0	0.0495049504950495	0.0393782383419689	0.0333333333333333	0.0	0.0321336760925449	0.0	0.0	0.0196687370600414	0.0	0.0	0.0390455531453362	0.0	0.0	0.0163265306122449	0.0061124694376528	0.0	0.0	0.0210583153347732	0.0	0.0061609549480169
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii	0.0	0.0108576935432059	0.0258882149046793	0.0424726661059714	0.0421377183967112	0.0	0.0	0.0	0.0162634273667302	0.0306345733041575	0.0545014644085063	0.0109317531671434	0.0218780727630285	0.0736213235294117	0.0	0.0	0.0	0.0142455153007386	0.0082229965156794	0.0	0.0	0.0	0.014708089449197	0.0	0.0094059405940594	0.0455958549222797	0.0371794871794871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0164106145251396	0.0	0.024042379788101	0.030055817947617	0.0	0.0	0.0	0.0
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	0.0	0.0	0.0	0.0	0.0089071599862966	0.0	0.0	0.0443058746307843	0.0546129906635879	0.0161925601750547	0.0033108366229466	0.0101144258275439	0.0374877089478859	0.0	0.042214384952442	0.0	0.0	0.0	0.0030662020905923	0.0	0.0	0.0	0.0	0.0	0.0693069306930693	0.0	0.0	0.0	0.1401028277634961	0.0	0.0086355785837651	0.0	0.0	0.0	0.0	0.0	0.0027932960893854	0.0049886621315192	0.0	0.0	0.0067521944632005	0.0	0.0	0.0161725067385444
k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Gemmiger; s__formicilis	0.0048928631685507	0.0	0.007582322357019	0.0294365012615643	0.0085645769099006	0.0195921631347461	0.0	0.0213324581555628	0.0319245055717297	0.0	0.0053482745447599	0.0057212913771965	0.0467059980334316	0.035110294117647	0.012610879555413	0.0031022551008232	0.0203105061675882	0.0160042208934224	0.017979094076655	0.012396694214876	0.0045428072218986	0.0207061900610287	0.0	0.0	0.0148514851485148	0.0414507772020725	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0160614525139664	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__	0.0560148473089252	0.0293607452618053	0.0057409012131715	0.0100925147182506	0.0	0.0207916833266693	0.0	0.0	0.0115450255998393	0.0	0.0	0.0	0.0087266470009832	0.003860294117647	0.0094047237362402	0.0023863500775563	0.0064866014461931	0.0	0.0485017421602787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0836431226765799	0.0	0.0	0.07627765064836	0.0	0.0448300795372378	0.0	0.0230446927374301	0.0839002267573696	0.0	0.0	0.1090479405806887	0.0	0.0	0.0323450134770889
