,root:BJN,root:TT
MTC6T1,0.2536351,0.74636483
MTC6T2,0.5716297,0.42837027
MTT6T3,0.097379334,0.9026207
MTT6T4,0.4560302,0.54396975
MTT6T5,0.036059484,0.96394044
MTT6T7,0.036326148,0.96367383
MTT6T11,0.028367918,0.97163206
MTT6T12,0.028416587,0.97158337
MTT6T13,0.035480294,0.9645197
MTT6T14,0.029378567,0.9706214
MTT6T15,0.5690149,0.4309851
MTT6T16,0.33335796,0.66664195
MTT6T8,0.028299227,0.9717007
MTT6T9,0.028835889,0.97116417
MTT6T17,0.035125375,0.96487457
MTT6T18,0.54001606,0.45998397
MTT6T19,0.03924513,0.9607548
MTT6T20,0.5713595,0.4286405
MTB6T21,0.028299227,0.9717007
MTB6T22,0.5702873,0.42971265
MTB6T23,0.57057106,0.42942896
MTB6T24,0.570613,0.429387
MTB6T25,0.07548332,0.92451674
MTB6T26,0.43209136,0.56790864
MTB6T27,0.028299227,0.9717007
MTB6T28,0.09152243,0.90847754
MTB6T29,0.55768627,0.44231373
